"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Apr",206.11,206.11,-1.13686837721616e-13,206.11,5.51583318235971e-16,"P01"
"Aug",179,179,0,179,0,"P01"
"Dec",76.1,76.1,0,76.1,0,"P01"
"Feb",62.9560000000001,62.9560000000001,-2.8421709430404e-14,62.9560000000001,4.51453545816188e-16,"P01"
"Jan",47.328,47.328,-1.4210854715202e-14,47.328,3.002631574375e-16,"P01"
"Jul",412.28,412.28,-2.27373675443232e-13,412.28,5.5150304512281e-16,"P01"
"Jun",600.33,600.33,-3.41060513164848e-13,600.33,5.68121721661166e-16,"P01"
"Mar",76.7400000000001,76.7400000000001,0,76.7400000000001,0,"P01"
"May",491.56,491.56,-3.97903932025656e-13,491.56,8.09471747143087e-16,"P01"
"Nov",91.5440000000001,91.5440000000001,4.2632564145606e-14,91.5440000000001,4.65705716875011e-16,"P01"
"Oct",102,102,0,102,0,"P01"
"Sep",119,119,0,119,0,"P01"
"Apr",183.659999999999,183.659999999999,-3.97903932025656e-13,183.659999999999,2.16652473061994e-15,"P02"
"Aug",163,163,0,163,0,"P02"
"Dec",63.356,63.356,7.105427357601e-15,63.356,1.12150820089668e-16,"P02"
"Feb",47.6399999999999,47.6399999999999,2.8421709430404e-14,47.6399999999999,5.9659339694383e-16,"P02"
"Jan",44.7,44.7,0,44.7,0,"P02"
"Jul",394.56,394.56,5.6843418860808e-14,394.56,1.44067870186557e-16,"P02"
"Jun",561,561,0,561,0,"P02"
"Mar",63.092,63.092,3.5527136788005e-14,63.092,5.63100500665774e-16,"P02"
"May",459,459,0,459,0,"P02"
"Nov",81.2099999999999,81.2099999999999,0,81.2099999999999,0,"P02"
"Oct",93.736,93.736,2.8421709430404e-14,93.736,3.03210179977853e-16,"P02"
"Sep",103,103,0,103,0,"P02"
"Apr",144,144,0,144,0,"P05"
"Aug",135.4,135.4,-8.5265128291212e-14,135.4,6.297276830961e-16,"P05"
"Dec",53.2,53.2,0,53.2,0,"P05"
"Feb",38.185,38.185,7.105427357601e-15,38.185,1.86079019447453e-16,"P05"
"Jan",39.4,39.4,0,39.4,0,"P05"
"Jul",343.4,343.4,-1.13686837721616e-13,343.4,3.3106242784396e-16,"P05"
"Jun",496,496,0,496,0,"P05"
"Mar",50.08,50.08,-2.1316282072803e-14,50.08,4.25644610079932e-16,"P05"
"May",398.4,398.4,-1.13686837721616e-13,398.4,2.85358528417711e-16,"P05"
"Nov",67.4,67.4,0,67.4,0,"P05"
"Oct",80.52,80.52,-4.2632564145606e-14,80.52,5.29465525901714e-16,"P05"
"Sep",81.5099999999999,81.5099999999999,-4.2632564145606e-14,81.5099999999999,5.2303477052639e-16,"P05"
"Apr",122,122,0,122,0,"P10"
"Aug",113,113,0,113,0,"P10"
"Dec",45.76,45.76,-3.5527136788005e-14,45.76,7.76379737500109e-16,"P10"
"Feb",32.7,32.7,0,32.7,0,"P10"
"Jan",34.8,34.8,0,34.8,0,"P10"
"Jul",306,306,0,306,0,"P10"
"Jun",442,442,0,442,0,"P10"
"Mar",44.5,44.5,0,44.5,0,"P10"
"May",357,357,0,357,0,"P10"
"Nov",60.81,60.81,1.4210854715202e-14,60.81,2.33692726775234e-16,"P10"
"Oct",63.96,63.96,-3.5527136788005e-14,63.96,5.55458673983818e-16,"P10"
"Sep",68.23,68.23,2.8421709430404e-14,68.23,4.16557371103679e-16,"P10"
"Apr",105,105,0,105,0,"P15"
"Aug",98.3,98.3,0,98.3,0,"P15"
"Dec",41.1,41.1,0,41.1,0,"P15"
"Feb",29.9,29.9,0,29.9,0,"P15"
"Jan",32,32,0,32,0,"P15"
"Jul",280,280,0,280,0,"P15"
"Jun",405.65,405.65,-1.13686837721616e-13,405.65,2.80258443785569e-16,"P15"
"Mar",40.02,40.02,2.1316282072803e-14,40.02,5.32640731454348e-16,"P15"
"May",329,329,0,329,0,"P15"
"Nov",55.8,55.8,0,55.8,0,"P15"
"Oct",56.1,56.1,0,56.1,0,"P15"
"Sep",60,60,0,60,0,"P15"
"Apr",93.84,93.84,0,93.84,0,"P20"
"Aug",88.3,88.3,0,88.3,0,"P20"
"Dec",38.26,38.26,7.105427357601e-15,38.26,1.85714253988526e-16,"P20"
"Feb",27.74,27.74,-1.06581410364015e-14,27.74,3.8421561054079e-16,"P20"
"Jan",30,30,0,30,0,"P20"
"Jul",253,253,0,253,0,"P20"
"Jun",386.4,386.4,-1.13686837721616e-13,386.4,2.9422059451764e-16,"P20"
"Mar",35.76,35.76,7.105427357601e-15,35.76,1.98697633042534e-16,"P20"
"May",307.6,307.6,1.13686837721616e-13,307.6,3.6959310052541e-16,"P20"
"Nov",51.9,51.9,0,51.9,0,"P20"
"Oct",51.5,51.5,0,51.5,0,"P20"
"Sep",54.32,54.32,0,54.32,0,"P20"
"Apr",84.7,84.7,0,84.7,0,"P25"
"Aug",82.1,82.1,0,82.1,0,"P25"
"Dec",36.1,36.1,0,36.1,0,"P25"
"Feb",26.3,26.3,0,26.3,0,"P25"
"Jan",28.9,28.9,0,28.9,0,"P25"
"Jul",233,233,0,233,0,"P25"
"Jun",368,368,0,368,0,"P25"
"Mar",32,32,0,32,0,"P25"
"May",289,289,0,289,0,"P25"
"Nov",48.1,48.1,0,48.1,0,"P25"
"Oct",47.7,47.7,0,47.7,0,"P25"
"Sep",50.4,50.4,0,50.4,0,"P25"
"Apr",76.5,76.5,0,76.5,0,"P30"
"Aug",76.9,76.9,0,76.9,0,"P30"
"Dec",34.3,34.3,0,34.3,0,"P30"
"Feb",24.81,24.81,7.105427357601e-15,24.81,2.86393686320073e-16,"P30"
"Jan",28,28,0,28,0,"P30"
"Jul",215.4,215.4,1.4210854715202e-13,215.4,6.59742558737326e-16,"P30"
"Jun",352,352,0,352,0,"P30"
"Mar",30,30,0,30,0,"P30"
"May",274,274,0,274,0,"P30"
"Nov",45.6,45.6,0,45.6,0,"P30"
"Oct",44.8,44.8,0,44.8,0,"P30"
"Sep",47.3,47.3,0,47.3,0,"P30"
"Apr",71.1,71.1,0,71.1,0,"P35"
"Aug",72.08,72.08,1.4210854715202e-14,72.08,1.97153922241981e-16,"P35"
"Dec",32.7,32.7,0,32.7,0,"P35"
