"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"P01",47.328,62.9560000000001,76.7400000000001,206.11,491.56,600.33,412.28,179,119,102,91.5440000000001,76.1
"P02",44.7,47.6399999999999,63.092,183.659999999999,459,561,394.56,163,103,93.736,81.2099999999999,63.356
"P05",39.4,38.185,50.08,144,398.4,496,343.4,135.4,81.5099999999999,80.52,67.4,53.2
"P10",34.8,32.7,44.5,122,357,442,306,113,68.23,63.96,60.81,45.76
"P15",32,29.9,40.02,105,329,405.65,280,98.3,60,56.1,55.8,41.1
"P20",30,27.74,35.76,93.84,307.6,386.4,253,88.3,54.32,51.5,51.9,38.26
"P25",28.9,26.3,32,84.7,289,368,233,82.1,50.4,47.7,48.1,36.1
"P30",28,24.81,30,76.5,274,352,215.4,76.9,47.3,44.8,45.6,34.3
"P35",26.9,23.695,28.5,71.1,252.8,340,201,72.08,44.6,42.3,43.3,32.7
"P40",25.9,22.8,27,65.3,234.2,328,186,68.8,42.2,40.5,41.3,31.1
"P45",24.9,22,25.7,60.4,217,314,173,65.7,40.2,38.8,39.1,29.7
"P50",23.8,21.2,24.8,56.7,199,304,160,62.8,38.5,37,36.8,28.3
"P55",22.9,20.5,23.6,52.7,184,292,148,59.2,36.8,34.8,34.305,27.1
"P60",22.18,20,22.4,49.3,171,280,137,56.2,35.4,33.1,32.6,26.1
"P65",21.4,19.4,21.2,46.2,159,269,128,53.4,34,31.42,31,25.1
"P70",20.7,18.9,20.3,42.87,148,257,118,50.7,32.77,29.7,29.4,24.1
"P75",19.8,18.4,19.3,40.225,136,243,109,47.8,31.4,28.1,27.8,23.3
"P80",18.9,18,18.6,36.18,124,230,101,44.7,30.1,26.7,26.2,22.1
"P85",18.3,17.3,18,32.3,112,217,92.24,42.3,28.9,25.3,24.4,21
"P90",17.6,16.6,17.3,28.6,97.02,201,81.86,39.4,27.4,23.7,22.3,19.7
"P95",16.46,15.3,15.6,23.6,79.66,175,72.98,36,25.945,21.8,19.545,18.4
"P99",11.588,13.4,14,18.389,55.772,143,57.444,31.044,23.8,18.9,15.9,15
