"Month","P01","P02","P05","P10","P15","P20","P25","P30","P35","P40","P45","P50","P55","P60","P65","P70","P75","P80","P85","P90","P95","P99"
"Jan",47.328,44.7,39.4,34.8,32,30,28.9,28,26.9,25.9,24.9,23.8,22.9,22.18,21.4,20.7,19.8,18.9,18.3,17.6,16.46,11.588
"Feb",62.9560000000001,47.6399999999999,38.185,32.7,29.9,27.74,26.3,24.81,23.695,22.8,22,21.2,20.5,20,19.4,18.9,18.4,18,17.3,16.6,15.3,13.4
"Mar",76.7400000000001,63.092,50.08,44.5,40.02,35.76,32,30,28.5,27,25.7,24.8,23.6,22.4,21.2,20.3,19.3,18.6,18,17.3,15.6,14
"Apr",206.11,183.659999999999,144,122,105,93.84,84.7,76.5,71.1,65.3,60.4,56.7,52.7,49.3,46.2,42.87,40.225,36.18,32.3,28.6,23.6,18.389
"May",491.56,459,398.4,357,329,307.6,289,274,252.8,234.2,217,199,184,171,159,148,136,124,112,97.02,79.66,55.772
"Jun",600.33,561,496,442,405.65,386.4,368,352,340,328,314,304,292,280,269,257,243,230,217,201,175,143
"Jul",412.28,394.56,343.4,306,280,253,233,215.4,201,186,173,160,148,137,128,118,109,101,92.24,81.86,72.98,57.444
"Aug",179,163,135.4,113,98.3,88.3,82.1,76.9,72.08,68.8,65.7,62.8,59.2,56.2,53.4,50.7,47.8,44.7,42.3,39.4,36,31.044
"Sep",119,103,81.5099999999999,68.23,60,54.32,50.4,47.3,44.6,42.2,40.2,38.5,36.8,35.4,34,32.77,31.4,30.1,28.9,27.4,25.945,23.8
"Oct",102,93.736,80.52,63.96,56.1,51.5,47.7,44.8,42.3,40.5,38.8,37,34.8,33.1,31.42,29.7,28.1,26.7,25.3,23.7,21.8,18.9
"Nov",91.5440000000001,81.2099999999999,67.4,60.81,55.8,51.9,48.1,45.6,43.3,41.3,39.1,36.8,34.305,32.6,31,29.4,27.8,26.2,24.4,22.3,19.545,15.9
"Dec",76.1,63.356,53.2,45.76,41.1,38.26,36.1,34.3,32.7,31.1,29.7,28.3,27.1,26.1,25.1,24.1,23.3,22.1,21,19.7,18.4,15
