"Year","n.days","n.Q","n.miss.Q","min.Q","max.Q","mean.Q","sd.Q"
1933,365,365,0,12,612,111.253150684932,123.155805332205
1934,365,365,0,24,470,95.2197260273973,101.365262678823
1935,365,365,0,18.9,402,89.3758904109589,102.338292542076
1936,366,366,0,13.9,464,75.5516393442623,98.1630945635451
1937,365,365,0,8.5,314,63.8141917808219,70.9803251234696
1938,365,365,0,18.2,416,80.6602739726027,99.6889055789516
1939,365,365,0,15.4,340,83.3471232876712,80.3284536487719
1940,366,366,0,21.8,394,73.2333333333333,78.0584086426142
1941,365,365,0,18,253,81.0369863013699,56.7924404572516
1942,365,365,0,18.5,368,74.4605479452055,83.1288737326002
1943,365,365,0,11.7,345,75.3295890410959,82.8756088343598
1944,366,366,0,13.8,225,55.7991803278689,53.6890052710751
1945,365,365,0,16.3,399,72.2479452054795,90.2498079350016
1946,365,365,0,16.7,476,98.3665753424658,119.231294893249
1947,365,365,0,17.8,354,88.4213698630137,88.2864352659256
1948,366,366,0,16.1,682,91.3573770491803,132.858483523109
1949,365,365,0,13.4,399,71.6493150684932,85.2674327560957
1950,365,365,0,17.4,493,86.7394520547945,101.582238809042
1951,365,365,0,26,385,98.2854794520548,93.616032384115
1952,366,366,0,13,365,81.342349726776,97.7675991035049
1953,365,365,0,14.4,462,88.1923287671233,97.013355239558
1954,365,365,0,18.6,456,111.894246575342,122.665032564541
1955,365,365,0,16.9,595,97.5238356164384,122.831609949679
1956,366,366,0,17.6,612,103.337978142077,130.603797403348
1957,365,365,0,17.1,422,82.1643835616438,108.637010230034
1958,365,365,0,19.6,493,80.181095890411,104.588849388346
1959,365,365,0,18.1,467,113.133698630137,109.306081432854
1960,366,366,0,19.9,388,91.529781420765,93.803836784902
1961,365,365,0,20.6,688,96.5660273972603,136.454388776316
1962,365,365,0,17,402,92.9805479452055,95.9961336202068
1963,365,365,0,25.2,396,88.1254794520548,95.4770585907728
1964,366,366,0,17.1,524,105.876775956284,119.729833233056
1965,365,365,0,22.8,399,85.6613698630137,87.6554757683983
1966,365,365,0,19,402,89.5917808219178,100.116072132762
1967,365,365,0,21.2,629,105.489863013699,142.509172757532
1968,366,366,0,19.5,569,106.349726775956,111.917699152041
1969,365,365,0,17.1,473,97.7005479452055,111.879985245798
1970,365,365,0,20,377,67.4454794520548,82.3380002039485
1971,365,365,0,20.8,470,110.62301369863,123.07572410723
1972,366,366,0,18,631,116.162841530055,144.734783567632
1973,365,365,0,17.7,357,71.6780821917808,76.3510142397125
1974,365,365,0,17.9,694,111.057534246575,145.268339537304
1975,365,365,0,16,365,87.1019178082192,94.0936768533595
1976,366,366,0,19.9,368,111.635792349727,109.677701947292
1977,365,365,0,16.3,314,63.1939726027397,64.2912720038915
1978,365,365,0,15.7,402,94.8572602739726,94.6484863613532
1979,365,365,0,16.7,320,65.0904109589041,72.9527559835808
1980,366,366,0,13.8,427,83.3090163934426,95.660410789702
1981,365,365,0,29.2,469,112.962739726027,108.481759914889
1982,365,365,0,24.6,523,111.052328767123,126.939611307946
1983,365,365,0,25.8,491,102.430410958904,100.842428391236
1984,366,366,0,20.4,557,93.1590163934426,109.220384785664
1985,365,365,0,15.4,477,81.1158904109589,96.4376030667638
1986,365,365,0,19.8,582,86.2539726027397,108.060281390158
1987,365,365,0,16.7,378,68.1306849315068,78.5703327453588
1988,366,366,0,15.2,347,84.3609289617486,89.9890686098687
1989,365,365,0,17.7,368,83.9569863013699,82.79645296002
1990,365,365,0,22.7,451,106.035616438356,108.849852945358
1991,365,365,0,18.7,410,102.754246575342,111.982607631105
1992,366,366,0,16.3,323,73.074043715847,74.9213926582397
1993,365,365,0,14.4,419,75.2315068493151,90.6183705823984
1994,365,365,0,17,331,80.9082191780822,89.5206034873706
1995,365,365,0,17.5,405,87.3704109589041,84.723035200068
1996,366,366,0,27.8,492,110.42349726776,113.12341881645
1997,365,365,0,23.9,595,127.705479452055,136.868103359204
1998,365,365,0,23.1,376,83.0216438356164,89.8405736769811
1999,365,365,0,23.5,557,126.310410958904,124.406800815375
2000,366,366,0,18,375,99.2775956284153,101.66237078514
2001,365,365,0,14.5,363,62.6134246575342,70.3134169628937
2002,365,365,0,18.7,492,92.4747945205479,120.491834661446
2003,365,365,0,18.4,419,81.5786301369863,95.6254534330278
2004,366,366,0,19,332,88.9319672131148,78.4059589569255
2005,365,365,0,24.4,371,93.6079452054795,82.2295257752819
2006,365,365,0,19.7,554,94.8608219178082,123.887626653287
2007,365,365,0,19,481,87.4575342465753,100.209538870891
2008,366,366,0,15.9,411,84.6483606557377,100.315529247789
2009,365,365,0,17.6,368,71.7838356164384,84.0465617719558
2010,365,365,0,20.2,329,77.7424657534247,80.4029947876721
2011,365,365,0,18.4,492,103.326575342466,128.653242232234
2012,366,366,0,16.9,611,119.430601092896,145.481532201488
2013,365,365,0,22.6,474,102.095342465753,117.08374552968
2014,365,365,0,17,393,93.261095890411,100.22155412327
2015,365,365,0,25.3,412,81.8802739726027,76.9232016395195
