"Year","Measure","value","prob","dist.prob"
1966,"Q001-avg",125,0.0196078431372549,-3.92194065835817
1982,"Q001-avg",155,0.0392156862745098,-3.21874246841809
1973,"Q001-avg",156,0.0588235294117647,-2.80305416782337
1969,"Q001-avg",157,0.0784313725490196,-2.50497021150998
1972,"Q001-avg",157,0.0980392156862745,-2.27123918726071
1974,"Q001-avg",159,0.117647058823529,-2.0781372490074
1994,"Q001-avg",165,0.137254901960784,-1.91300550220313
1971,"Q001-avg",175,0.156862745098039,-1.76828408283058
1997,"Q001-avg",177,0.176470588235294,-1.63909324496361
1984,"Q001-avg",179,0.196078431372549,-1.52209774524348
1985,"Q001-avg",180,0.215686274509804,-1.41491534737354
1983,"Q001-avg",181,0.235294117647059,-1.31578375868266
1989,"Q001-avg",181,0.254901960784314,-1.22336130918965
1998,"Q001-avg",190,0.274509803921569,-1.13660167356736
1999,"Q001-avg",193,0.294117647058824,-1.05467188196078
1975,"Q001-avg",194,0.313725490196078,-0.976896805269878
1979,"Q001-avg",201,0.333333333333333,-0.90272045571788
1968,"Q001-avg",204,0.352941176470588,-0.831678316794787
1990,"Q001-avg",204,0.372549019607843,-0.76337710990627
1970,"Q001-avg",205,0.392156862745098,-0.697479695886733
1978,"Q001-avg",205,0.411764705882353,-0.633693595080792
1986,"Q001-avg",210,0.431372549019608,-0.57176210185626
1996,"Q001-avg",210,0.450980392156863,-0.511457285640484
1967,"Q001-avg",221,0.470588235294118,-0.452574378187939
1976,"Q001-avg",221,0.490196078431373,-0.394927185510679
2002,"Q001-avg",229,0.509803921568627,-0.338344256759445
1995,"Q001-avg",230,0.529411764705882,-0.28266560614994
1977,"Q001-avg",231,0.549019607843137,-0.227739827030754
1981,"Q001-avg",231,0.568627450980392,-0.173421465130915
1991,"Q001-avg",233,0.588235294117647,-0.11956853433486
2008,"Q001-avg",233,0.607843137254902,-0.0660400647751687
2001,"Q001-avg",234,0.627450980392157,-0.0126935700019318
1980,"Q001-avg",241,0.647058823529412,0.040617693487255
2011,"Q001-avg",241,0.666666666666667,0.0940478276166989
2005,"Q001-avg",243,0.686274509803922,0.147761952860186
2000,"Q001-avg",246,0.705882352941177,0.201940696360326
1988,"Q001-avg",250,0.725490196078431,0.25678589046824
1992,"Q001-avg",252,0.745098039215686,0.312528045425352
2004,"Q001-avg",256,0.764705882352941,0.369436456404137
2012,"Q001-avg",256,0.784313725490196,0.427833304213094
2013,"Q001-avg",256,0.803921568627451,0.48811397969533
1993,"Q001-avg",260,0.823529411764706,0.550777447701163
2014,"Q001-avg",261,0.843137254901961,0.61647350729374
1987,"Q001-avg",267,0.862745098039216,0.686080008659547
2003,"Q001-avg",272,0.882352941176471,0.760836746077445
2015,"Q001-avg",283,0.901960784313726,0.84259584620579
2007,"Q001-avg",297,0.92156862745098,0.934339379338588
2006,"Q001-avg",300,0.941176470588235,1.04141152477478
2009,"Q001-avg",301,0.96078431372549,1.17516536146202
2010,"Q001-avg",316,0.980392156862745,1.36910385560587
1966,"Q003-avg",125,0.0196078431372549,-3.92194065835817
1982,"Q003-avg",155.666666666667,0.0392156862745098,-3.21874246841809
1973,"Q003-avg",156,0.0588235294117647,-2.80305416782337
1969,"Q003-avg",157.333333333333,0.0784313725490196,-2.50497021150998
1972,"Q003-avg",157.666666666667,0.0980392156862745,-2.27123918726071
1974,"Q003-avg",159,0.117647058823529,-2.0781372490074
1994,"Q003-avg",166,0.137254901960784,-1.91300550220313
1971,"Q003-avg",175.333333333333,0.156862745098039,-1.76828408283058
1997,"Q003-avg",177.666666666667,0.176470588235294,-1.63909324496361
1984,"Q003-avg",180.333333333333,0.196078431372549,-1.52209774524348
1985,"Q003-avg",180.666666666667,0.215686274509804,-1.41491534737354
1983,"Q003-avg",182,0.235294117647059,-1.31578375868266
1989,"Q003-avg",182,0.254901960784314,-1.22336130918965
1998,"Q003-avg",193,0.274509803921569,-1.13660167356736
1999,"Q003-avg",193.666666666667,0.294117647058824,-1.05467188196078
1975,"Q003-avg",194,0.313725490196078,-0.976896805269878
1979,"Q003-avg",201.666666666667,0.333333333333333,-0.90272045571788
1968,"Q003-avg",204,0.352941176470588,-0.831678316794787
1990,"Q003-avg",204.666666666667,0.372549019607843,-0.76337710990627
1970,"Q003-avg",205,0.392156862745098,-0.697479695886733
1978,"Q003-avg",205.666666666667,0.411764705882353,-0.633693595080792
1986,"Q003-avg",210.666666666667,0.431372549019608,-0.57176210185626
1996,"Q003-avg",210.666666666667,0.450980392156863,-0.511457285640484
1967,"Q003-avg",221,0.470588235294118,-0.452574378187939
1976,"Q003-avg",221.333333333333,0.490196078431373,-0.394927185510679
2002,"Q003-avg",229.666666666667,0.509803921568627,-0.338344256759445
1995,"Q003-avg",230,0.529411764705882,-0.28266560614994
1981,"Q003-avg",231.333333333333,0.549019607843137,-0.227739827030754
1977,"Q003-avg",231.666666666667,0.568627450980392,-0.173421465130915
2008,"Q003-avg",233.666666666667,0.588235294117647,-0.11956853433486
1991,"Q003-avg",234.333333333333,0.607843137254902,-0.0660400647751687
2001,"Q003-avg",235,0.627450980392157,-0.0126935700019318
2011,"Q003-avg",241,0.647058823529412,0.040617693487255
1980,"Q003-avg",241.666666666667,0.666666666666667,0.0940478276166989
2005,"Q003-avg",243.333333333333,0.686274509803922,0.147761952860186
2000,"Q003-avg",246.333333333333,0.705882352941177,0.201940696360326
1988,"Q003-avg",250.333333333333,0.725490196078431,0.25678589046824
1992,"Q003-avg",255,0.745098039215686,0.312528045425352
2012,"Q003-avg",256,0.764705882352941,0.369436456404137
2013,"Q003-avg",256,0.784313725490196,0.427833304213094
2004,"Q003-avg",257.333333333333,0.803921568627451,0.48811397969533
2014,"Q003-avg",261.333333333333,0.823529411764706,0.550777447701163
1993,"Q003-avg",262.666666666667,0.843137254901961,0.61647350729374
1987,"Q003-avg",267.333333333333,0.862745098039216,0.686080008659547
2003,"Q003-avg",273.666666666667,0.882352941176471,0.760836746077445
2015,"Q003-avg",283.666666666667,0.901960784313726,0.84259584620579
2007,"Q003-avg",297,0.92156862745098,0.934339379338588
2006,"Q003-avg",300.666666666667,0.941176470588235,1.04141152477478
2009,"Q003-avg",302.333333333333,0.96078431372549,1.17516536146202
2010,"Q003-avg",317,0.980392156862745,1.36910385560587
1966,"Q007-avg",125.285714285714,0.0196078431372549,-3.92194065835817
1973,"Q007-avg",156.428571428571,0.0392156862745098,-3.21874246841809
1982,"Q007-avg",156.714285714286,0.0588235294117647,-2.80305416782337
1972,"Q007-avg",158.142857142857,0.0784313725490196,-2.50497021150998
1969,"Q007-avg",158.428571428571,0.0980392156862745,-2.27123918726071
1974,"Q007-avg",159.857142857143,0.117647058823529,-2.0781372490074
1994,"Q007-avg",167.142857142857,0.137254901960784,-1.91300550220313
1971,"Q007-avg",176.285714285714,0.156862745098039,-1.76828408283058
1997,"Q007-avg",179.428571428571,0.176470588235294,-1.63909324496361
1985,"Q007-avg",182,0.196078431372549,-1.52209774524348
1984,"Q007-avg",182.571428571429,0.215686274509804,-1.41491534737354
1983,"Q007-avg",183.428571428571,0.235294117647059,-1.31578375868266
1989,"Q007-avg",184.571428571429,0.254901960784314,-1.22336130918965
1975,"Q007-avg",194,0.274509803921569,-1.13660167356736
1998,"Q007-avg",194.285714285714,0.294117647058824,-1.05467188196078
1999,"Q007-avg",195,0.313725490196078,-0.976896805269878
1979,"Q007-avg",203,0.333333333333333,-0.90272045571788
1968,"Q007-avg",204,0.352941176470588,-0.831678316794787
1978,"Q007-avg",205.857142857143,0.372549019607843,-0.76337710990627
1970,"Q007-avg",206,0.392156862745098,-0.697479695886733
1990,"Q007-avg",206.714285714286,0.411764705882353,-0.633693595080792
1986,"Q007-avg",212.285714285714,0.431372549019608,-0.57176210185626
1996,"Q007-avg",213.142857142857,0.450980392156863,-0.511457285640484
1967,"Q007-avg",221.428571428571,0.470588235294118,-0.452574378187939
1976,"Q007-avg",222.571428571429,0.490196078431373,-0.394927185510679
1995,"Q007-avg",230.428571428571,0.509803921568627,-0.338344256759445
2002,"Q007-avg",230.714285714286,0.529411764705882,-0.28266560614994
1981,"Q007-avg",232.714285714286,0.549019607843137,-0.227739827030754
1977,"Q007-avg",233.428571428571,0.568627450980392,-0.173421465130915
2008,"Q007-avg",235.285714285714,0.588235294117647,-0.11956853433486
2001,"Q007-avg",236.428571428571,0.607843137254902,-0.0660400647751687
1991,"Q007-avg",236.571428571429,0.627450980392157,-0.0126935700019318
2011,"Q007-avg",241,0.647058823529412,0.040617693487255
1980,"Q007-avg",243.142857142857,0.666666666666667,0.0940478276166989
2005,"Q007-avg",245.571428571429,0.686274509803922,0.147761952860186
2000,"Q007-avg",247,0.705882352941177,0.201940696360326
1988,"Q007-avg",251.428571428571,0.725490196078431,0.25678589046824
2012,"Q007-avg",256.285714285714,0.745098039215686,0.312528045425352
2013,"Q007-avg",256.857142857143,0.764705882352941,0.369436456404137
2004,"Q007-avg",259.571428571429,0.784313725490196,0.427833304213094
2014,"Q007-avg",261.714285714286,0.803921568627451,0.48811397969533
1993,"Q007-avg",264.428571428571,0.823529411764706,0.550777447701163
1992,"Q007-avg",267.571428571429,0.843137254901961,0.61647350729374
1987,"Q007-avg",267.857142857143,0.862745098039216,0.686080008659547
2003,"Q007-avg",276.571428571429,0.882352941176471,0.760836746077445
2015,"Q007-avg",285.285714285714,0.901960784313726,0.84259584620579
2007,"Q007-avg",297.428571428571,0.92156862745098,0.934339379338588
2006,"Q007-avg",301,0.941176470588235,1.04141152477478
2009,"Q007-avg",303,0.96078431372549,1.17516536146202
2010,"Q007-avg",318.285714285714,0.980392156862745,1.36910385560587
1966,"Q015-avg",126,0.0196078431372549,-3.92194065835817
1973,"Q015-avg",157.733333333333,0.0392156862745098,-3.21874246841809
1982,"Q015-avg",158.533333333333,0.0588235294117647,-2.80305416782337
1972,"Q015-avg",159.2,0.0784313725490196,-2.50497021150998
1969,"Q015-avg",161.466666666667,0.0980392156862745,-2.27123918726071
1974,"Q015-avg",162.466666666667,0.117647058823529,-2.0781372490074
1994,"Q015-avg",170.133333333333,0.137254901960784,-1.91300550220313
1971,"Q015-avg",180,0.156862745098039,-1.76828408283058
1997,"Q015-avg",182.266666666667,0.176470588235294,-1.63909324496361
1984,"Q015-avg",183.533333333333,0.196078431372549,-1.52209774524348
1983,"Q015-avg",184.666666666667,0.215686274509804,-1.41491534737354
1985,"Q015-avg",184.933333333333,0.235294117647059,-1.31578375868266
1989,"Q015-avg",185.8,0.254901960784314,-1.22336130918965
1975,"Q015-avg",194.6,0.274509803921569,-1.13660167356736
1999,"Q015-avg",195.533333333333,0.294117647058824,-1.05467188196078
1998,"Q015-avg",199.2,0.313725490196078,-0.976896805269878
1968,"Q015-avg",204.933333333333,0.333333333333333,-0.90272045571788
1979,"Q015-avg",205.666666666667,0.352941176470588,-0.831678316794787
1978,"Q015-avg",206.733333333333,0.372549019607843,-0.76337710990627
1970,"Q015-avg",206.8,0.392156862745098,-0.697479695886733
1990,"Q015-avg",208.4,0.411764705882353,-0.633693595080792
1986,"Q015-avg",215.8,0.431372549019608,-0.57176210185626
1996,"Q015-avg",220.266666666667,0.450980392156863,-0.511457285640484
1967,"Q015-avg",222.266666666667,0.470588235294118,-0.452574378187939
1976,"Q015-avg",223.2,0.490196078431373,-0.394927185510679
1995,"Q015-avg",230.933333333333,0.509803921568627,-0.338344256759445
2002,"Q015-avg",233.2,0.529411764705882,-0.28266560614994
1981,"Q015-avg",234.4,0.549019607843137,-0.227739827030754
1977,"Q015-avg",236.733333333333,0.568627450980392,-0.173421465130915
2001,"Q015-avg",237.733333333333,0.588235294117647,-0.11956853433486
1991,"Q015-avg",238,0.607843137254902,-0.0660400647751687
2008,"Q015-avg",239.533333333333,0.627450980392157,-0.0126935700019318
2011,"Q015-avg",241.4,0.647058823529412,0.040617693487255
1980,"Q015-avg",246.466666666667,0.666666666666667,0.0940478276166989
2005,"Q015-avg",249.733333333333,0.686274509803922,0.147761952860186
2000,"Q015-avg",250.8,0.705882352941177,0.201940696360326
1988,"Q015-avg",254.866666666667,0.725490196078431,0.25678589046824
2012,"Q015-avg",257.533333333333,0.745098039215686,0.312528045425352
2013,"Q015-avg",259.333333333333,0.764705882352941,0.369436456404137
2014,"Q015-avg",262.466666666667,0.784313725490196,0.427833304213094
2004,"Q015-avg",264.2,0.803921568627451,0.48811397969533
1993,"Q015-avg",265.733333333333,0.823529411764706,0.550777447701163
1987,"Q015-avg",269.666666666667,0.843137254901961,0.61647350729374
1992,"Q015-avg",280.8,0.862745098039216,0.686080008659547
2003,"Q015-avg",281.733333333333,0.882352941176471,0.760836746077445
2015,"Q015-avg",289.333333333333,0.901960784313726,0.84259584620579
2007,"Q015-avg",298.4,0.92156862745098,0.934339379338588
2006,"Q015-avg",302.466666666667,0.941176470588235,1.04141152477478
2009,"Q015-avg",304.6,0.96078431372549,1.17516536146202
2010,"Q015-avg",311.866666666667,0.980392156862745,1.36910385560587
