"Measure","distr","prob","quantile"
"Q001-avg","PIII",0.975,308.586643299354
"Q001-avg","PIII",0.99,324.760844731093
"Q001-avg","PIII",0.98,312.7595610518
"Q001-avg","PIII",0.95,294.431232380776
"Q001-avg","PIII",0.9,277.921045947503
"Q001-avg","PIII",0.8,257.8005262418
"Q001-avg","PIII",0.5,219.5724159332
"Q001-avg","PIII",0.2,182.761309584674
"Q001-avg","PIII",0.1,164.47128627642
"Q001-avg","PIII",0.05,149.993090620607
"Q001-avg","PIII",0.01,124.597540366336
"Q003-avg","PIII",0.975,309.497718875876
"Q003-avg","PIII",0.99,325.71116405616
"Q003-avg","PIII",0.98,313.680806860473
"Q003-avg","PIII",0.95,295.307568323053
"Q003-avg","PIII",0.9,278.756382315705
"Q003-avg","PIII",0.8,258.585166725748
"Q003-avg","PIII",0.5,220.258352715565
"Q003-avg","PIII",0.2,183.348890434112
"Q003-avg","PIII",0.1,165.008618015473
"Q003-avg","PIII",0.05,150.489915287085
"Q003-avg","PIII",0.01,125.021560970145
"Q007-avg","PIII",0.975,311.585960335458
"Q007-avg","PIII",0.99,327.929437111235
"Q007-avg","PIII",0.98,315.802492198163
"Q007-avg","PIII",0.95,297.282914620997
"Q007-avg","PIII",0.9,280.601168924303
"Q007-avg","PIII",0.8,260.272553234358
"Q007-avg","PIII",0.5,221.652320896014
"Q007-avg","PIII",0.2,184.46823172864
"Q007-avg","PIII",0.1,165.994836884676
"Q007-avg","PIII",0.05,151.372528499207
"Q007-avg","PIII",0.01,125.726716965234
"Q015-avg","PIII",0.975,314.250984721047
"Q015-avg","PIII",0.99,330.643511798357
"Q015-avg","PIII",0.98,318.480602842605
"Q015-avg","PIII",0.95,299.901238097149
"Q015-avg","PIII",0.9,283.160334387014
"Q015-avg","PIII",0.8,262.752376278461
"Q015-avg","PIII",0.5,223.957230532094
"Q015-avg","PIII",0.2,186.570353069968
"Q015-avg","PIII",0.1,167.981606609083
"Q015-avg","PIII",0.05,153.260165922709
"Q015-avg","PIII",0.01,127.421523657804
