"Year","Measure","value"
1966,"Q001-avg",125
1966,"Q003-avg",125
1966,"Q007-avg",125.285714285714
1966,"Q015-avg",126
1967,"Q001-avg",221
1967,"Q003-avg",221
1967,"Q007-avg",221.428571428571
1967,"Q015-avg",222.266666666667
1968,"Q001-avg",204
1968,"Q003-avg",204
1968,"Q007-avg",204
1968,"Q015-avg",204.933333333333
1969,"Q001-avg",157
1969,"Q003-avg",157.333333333333
1969,"Q007-avg",158.428571428571
1969,"Q015-avg",161.466666666667
1970,"Q001-avg",205
1970,"Q003-avg",205
1970,"Q007-avg",206
1970,"Q015-avg",206.8
1971,"Q001-avg",175
1971,"Q003-avg",175.333333333333
1971,"Q007-avg",176.285714285714
1971,"Q015-avg",180
1972,"Q001-avg",157
1972,"Q003-avg",157.666666666667
1972,"Q007-avg",158.142857142857
1972,"Q015-avg",159.2
1973,"Q001-avg",156
1973,"Q003-avg",156
1973,"Q007-avg",156.428571428571
1973,"Q015-avg",157.733333333333
1974,"Q001-avg",159
1974,"Q003-avg",159
1974,"Q007-avg",159.857142857143
1974,"Q015-avg",162.466666666667
1975,"Q001-avg",194
1975,"Q003-avg",194
1975,"Q007-avg",194
1975,"Q015-avg",194.6
1976,"Q001-avg",221
1976,"Q003-avg",221.333333333333
1976,"Q007-avg",222.571428571429
1976,"Q015-avg",223.2
1977,"Q001-avg",231
1977,"Q003-avg",231.666666666667
1977,"Q007-avg",233.428571428571
1977,"Q015-avg",236.733333333333
1978,"Q001-avg",205
1978,"Q003-avg",205.666666666667
1978,"Q007-avg",205.857142857143
1978,"Q015-avg",206.733333333333
1979,"Q001-avg",201
1979,"Q003-avg",201.666666666667
1979,"Q007-avg",203
1979,"Q015-avg",205.666666666667
1980,"Q001-avg",241
1980,"Q003-avg",241.666666666667
1980,"Q007-avg",243.142857142857
1980,"Q015-avg",246.466666666667
1981,"Q001-avg",231
1981,"Q003-avg",231.333333333333
1981,"Q007-avg",232.714285714286
1981,"Q015-avg",234.4
1982,"Q001-avg",155
1982,"Q003-avg",155.666666666667
1982,"Q007-avg",156.714285714286
1982,"Q015-avg",158.533333333333
1983,"Q001-avg",181
1983,"Q003-avg",182
1983,"Q007-avg",183.428571428571
1983,"Q015-avg",184.666666666667
1984,"Q001-avg",179
1984,"Q003-avg",180.333333333333
1984,"Q007-avg",182.571428571429
1984,"Q015-avg",183.533333333333
1985,"Q001-avg",180
1985,"Q003-avg",180.666666666667
1985,"Q007-avg",182
1985,"Q015-avg",184.933333333333
1986,"Q001-avg",210
1986,"Q003-avg",210.666666666667
1986,"Q007-avg",212.285714285714
1986,"Q015-avg",215.8
1987,"Q001-avg",267
1987,"Q003-avg",267.333333333333
1987,"Q007-avg",267.857142857143
1987,"Q015-avg",269.666666666667
1988,"Q001-avg",250
1988,"Q003-avg",250.333333333333
1988,"Q007-avg",251.428571428571
1988,"Q015-avg",254.866666666667
1989,"Q001-avg",181
1989,"Q003-avg",182
1989,"Q007-avg",184.571428571429
1989,"Q015-avg",185.8
1990,"Q001-avg",204
1990,"Q003-avg",204.666666666667
1990,"Q007-avg",206.714285714286
1990,"Q015-avg",208.4
