"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1966,125,125,0,125,0,"cy_min_01day_sw"
1967,221,221,0,221,0,"cy_min_01day_sw"
1968,204,204,0,204,0,"cy_min_01day_sw"
1969,157,157,0,157,0,"cy_min_01day_sw"
1970,205,205,0,205,0,"cy_min_01day_sw"
1971,175,175,0,175,0,"cy_min_01day_sw"
1972,157,157,0,157,0,"cy_min_01day_sw"
1973,156,156,0,156,0,"cy_min_01day_sw"
1974,159,159,0,159,0,"cy_min_01day_sw"
1975,194,194,0,194,0,"cy_min_01day_sw"
1976,221,221,0,221,0,"cy_min_01day_sw"
1977,231,231,0,231,0,"cy_min_01day_sw"
1978,205,205,0,205,0,"cy_min_01day_sw"
1979,201,201,0,201,0,"cy_min_01day_sw"
1980,241,241,0,241,0,"cy_min_01day_sw"
1981,231,231,0,231,0,"cy_min_01day_sw"
1982,155,155,0,155,0,"cy_min_01day_sw"
1983,181,181,0,181,0,"cy_min_01day_sw"
1984,179,179,0,179,0,"cy_min_01day_sw"
1985,180,180,0,180,0,"cy_min_01day_sw"
1986,210,210,0,210,0,"cy_min_01day_sw"
1987,267,267,0,267,0,"cy_min_01day_sw"
1988,250,250,0,250,0,"cy_min_01day_sw"
1989,181,181,0,181,0,"cy_min_01day_sw"
1990,204,204,0,204,0,"cy_min_01day_sw"
1991,233,233,0,233,0,"cy_min_01day_sw"
1992,252,252,0,252,0,"cy_min_01day_sw"
1993,260,260,0,260,0,"cy_min_01day_sw"
1994,165,165,0,165,0,"cy_min_01day_sw"
1995,230,230,0,230,0,"cy_min_01day_sw"
1996,210,210,0,210,0,"cy_min_01day_sw"
1997,177,177,0,177,0,"cy_min_01day_sw"
1998,190,190,0,190,0,"cy_min_01day_sw"
1999,193,193,0,193,0,"cy_min_01day_sw"
2000,246,246,0,246,0,"cy_min_01day_sw"
2001,234,234,0,234,0,"cy_min_01day_sw"
2002,229,229,0,229,0,"cy_min_01day_sw"
2003,272,272,0,272,0,"cy_min_01day_sw"
2004,256,256,0,256,0,"cy_min_01day_sw"
2005,243,243,0,243,0,"cy_min_01day_sw"
2006,300,300,0,300,0,"cy_min_01day_sw"
2007,297,297,0,297,0,"cy_min_01day_sw"
2008,233,233,0,233,0,"cy_min_01day_sw"
2009,301,301,0,301,0,"cy_min_01day_sw"
2010,316,316,0,316,0,"cy_min_01day_sw"
2011,241,241,0,241,0,"cy_min_01day_sw"
2012,256,256,0,256,0,"cy_min_01day_sw"
2013,256,256,0,256,0,"cy_min_01day_sw"
2014,261,261,0,261,0,"cy_min_01day_sw"
2015,283,283,0,283,0,"cy_min_01day_sw"
1966,80,80,0,80,0,"cy_mindoy_01day_sw"
1967,109,109,0,109,0,"cy_mindoy_01day_sw"
1968,97,97,0,97,0,"cy_mindoy_01day_sw"
1969,89,89,0,89,0,"cy_mindoy_01day_sw"
1970,81,81,0,81,0,"cy_mindoy_01day_sw"
1971,85,85,0,85,0,"cy_mindoy_01day_sw"
1972,67,67,0,67,0,"cy_mindoy_01day_sw"
1973,76,76,0,76,0,"cy_mindoy_01day_sw"
1974,73,73,0,73,0,"cy_mindoy_01day_sw"
1975,88,88,0,88,0,"cy_mindoy_01day_sw"
1976,98,98,0,98,0,"cy_mindoy_01day_sw"
1977,83,83,0,83,0,"cy_mindoy_01day_sw"
1978,96,96,0,96,0,"cy_mindoy_01day_sw"
1979,60,60,0,60,0,"cy_mindoy_01day_sw"
1980,100,100,0,100,0,"cy_mindoy_01day_sw"
1981,110,110,0,110,0,"cy_mindoy_01day_sw"
1982,88,88,0,88,0,"cy_mindoy_01day_sw"
1983,102,102,0,102,0,"cy_mindoy_01day_sw"
1984,18,18,0,18,0,"cy_mindoy_01day_sw"
1985,86,86,0,86,0,"cy_mindoy_01day_sw"
1986,83,83,0,83,0,"cy_mindoy_01day_sw"
1987,87,87,0,87,0,"cy_mindoy_01day_sw"
1988,102,102,0,102,0,"cy_mindoy_01day_sw"
1989,86,86,0,86,0,"cy_mindoy_01day_sw"
1990,52,52,0,52,0,"cy_mindoy_01day_sw"
1991,75,75,0,75,0,"cy_mindoy_01day_sw"
1992,42,42,0,42,0,"cy_mindoy_01day_sw"
1993,81,81,0,81,0,"cy_mindoy_01day_sw"
1994,83,83,0,83,0,"cy_mindoy_01day_sw"
1995,47,47,0,47,0,"cy_mindoy_01day_sw"
1996,30,30,0,30,0,"cy_mindoy_01day_sw"
1997,80,80,0,80,0,"cy_mindoy_01day_sw"
1998,5,5,0,5,0,"cy_mindoy_01day_sw"
1999,67,67,0,67,0,"cy_mindoy_01day_sw"
2000,102,102,0,102,0,"cy_mindoy_01day_sw"
2001,101,101,0,101,0,"cy_mindoy_01day_sw"
2002,100,100,0,100,0,"cy_mindoy_01day_sw"
2003,108,108,0,108,0,"cy_mindoy_01day_sw"
2004,87,87,0,87,0,"cy_mindoy_01day_sw"
2005,84,84,0,84,0,"cy_mindoy_01day_sw"
2006,76,76,0,76,0,"cy_mindoy_01day_sw"
2007,86,86,0,86,0,"cy_mindoy_01day_sw"
2008,114,114,0,114,0,"cy_mindoy_01day_sw"
2009,365,365,0,365,0,"cy_mindoy_01day_sw"
2010,365,365,0,365,0,"cy_mindoy_01day_sw"
2011,88,88,0,88,0,"cy_mindoy_01day_sw"
2012,97,97,0,97,0,"cy_mindoy_01day_sw"
2013,99,99,0,99,0,"cy_mindoy_01day_sw"
2014,93,93,0,93,0,"cy_mindoy_01day_sw"
2015,91,91,0,91,0,"cy_mindoy_01day_sw"
1966,125,125,0,125,0,"cy_min_03day_sw"
1967,221,221,0,221,0,"cy_min_03day_sw"
1968,204,204,0,204,0,"cy_min_03day_sw"
1969,157.333,157.333333333333,-0.000333333333344399,157.333166666667,2.11864631219566e-06,"cy_min_03day_sw"
1970,205,205,0,205,0,"cy_min_03day_sw"
1971,175.333,175.333333333333,-0.000333333333344399,175.333166666667,1.90114249164343e-06,"cy_min_03day_sw"
1972,157.667,157.666666666667,0.000333333333344399,157.666833333333,2.1141626700885e-06,"cy_min_03day_sw"
1973,156,156,0,156,0,"cy_min_03day_sw"
1974,159,159,0,159,0,"cy_min_03day_sw"
1975,194,194,0,194,0,"cy_min_03day_sw"
1976,221.333,221.333333333333,-0.000333333333344399,221.333166666667,1.50602523049068e-06,"cy_min_03day_sw"
1977,231.667,231.666666666667,0.000333333333344399,231.666833333333,1.43884788576871e-06,"cy_min_03day_sw"
1978,205.667,205.666666666667,0.000333333333344399,205.666833333333,1.62074422959657e-06,"cy_min_03day_sw"
1979,201.667,201.666666666667,0.000333333333344399,201.666833333333,1.65289119601256e-06,"cy_min_03day_sw"
1980,241.667,241.666666666667,0.000333333333344399,241.666833333333,1.37930939362552e-06,"cy_min_03day_sw"
1981,231.333,231.333333333333,-0.000333333333344399,231.333166666667,1.44092322837869e-06,"cy_min_03day_sw"
1982,155.667,155.666666666667,0.000333333333344399,155.666833333333,2.14132533055788e-06,"cy_min_03day_sw"
1983,182,182,0,182,0,"cy_min_03day_sw"
1984,180.333,180.333333333333,-0.000333333333344399,180.333166666667,1.84843054389735e-06,"cy_min_03day_sw"
1985,180.667,180.666666666667,0.000333333333344399,180.666833333333,1.84501674820078e-06,"cy_min_03day_sw"
1986,210.667,210.666666666667,0.000333333333344399,210.666833333333,1.58227722926358e-06,"cy_min_03day_sw"
1987,267.333,267.333333333333,-0.000333333333287555,267.333166666667,1.24688357020505e-06,"cy_min_03day_sw"
1988,250.333,250.333333333333,-0.000333333333344399,250.333166666667,1.33155880933768e-06,"cy_min_03day_sw"
1989,182,182,0,182,0,"cy_min_03day_sw"
1990,204.667,204.666666666667,0.000333333333344399,204.666833333333,1.62866316889513e-06,"cy_min_03day_sw"
1991,234.333,234.333333333333,-0.000333333333344399,234.333166666667,1.42247611845129e-06,"cy_min_03day_sw"
1992,255,255,0,255,0,"cy_min_03day_sw"
1993,262.667,262.666666666667,0.000333333333287555,262.666833333333,1.26903472759556e-06,"cy_min_03day_sw"
1994,166,166,0,166,0,"cy_min_03day_sw"
1995,230,230,0,230,0,"cy_min_03day_sw"
1996,210.667,210.666666666667,0.000333333333344399,210.666833333333,1.58227722926358e-06,"cy_min_03day_sw"
1997,177.667,177.666666666667,0.000333333333344399,177.666833333333,1.87617084793203e-06,"cy_min_03day_sw"
1998,193,193,0,193,0,"cy_min_03day_sw"
1999,193.667,193.666666666667,0.000333333333344399,193.666833333333,1.72116891471384e-06,"cy_min_03day_sw"
2000,246.333,246.333333333333,-0.000333333333344399,246.333166666667,1.35318088852996e-06,"cy_min_03day_sw"
2001,235,235,0,235,0,"cy_min_03day_sw"
2002,229.667,229.666666666667,0.000333333333344399,229.666833333333,1.4513777566681e-06,"cy_min_03day_sw"
2003,273.667,273.666666666667,0.000333333333287555,273.666833333333,1.21802605462806e-06,"cy_min_03day_sw"
2004,257.333,257.333333333333,-0.000333333333287555,257.333166666667,1.29533762633611e-06,"cy_min_03day_sw"
2005,243.333,243.333333333333,-0.000333333333344399,243.333166666667,1.36986395200709e-06,"cy_min_03day_sw"
2006,300.667,300.666666666667,0.000333333333287555,300.666833333333,1.10864683540937e-06,"cy_min_03day_sw"
2007,297,297,0,297,0,"cy_min_03day_sw"
2008,233.667,233.666666666667,0.000333333333344399,233.666833333333,1.42653250608694e-06,"cy_min_03day_sw"
2009,302.333,302.333333333333,-0.000333333333287555,302.333166666667,1.1025364400561e-06,"cy_min_03day_sw"
2010,317,317,0,317,0,"cy_min_03day_sw"
2011,241,241,0,241,0,"cy_min_03day_sw"
2012,256,256,0,256,0,"cy_min_03day_sw"
2013,256,256,0,256,0,"cy_min_03day_sw"
2014,261.333,261.333333333333,-0.000333333333287555,261.333166666667,1.27551101737012e-06,"cy_min_03day_sw"
2015,283.667,283.666666666667,0.000333333333287555,283.666833333333,1.17508744103284e-06,"cy_min_03day_sw"
1966,82,82,0,82,0,"cy_mindoy_03day_sw"
1967,111,111,0,111,0,"cy_mindoy_03day_sw"
1968,99,99,0,99,0,"cy_mindoy_03day_sw"
1969,90,90,0,90,0,"cy_mindoy_03day_sw"
1970,83,83,0,83,0,"cy_mindoy_03day_sw"
1971,87,87,0,87,0,"cy_mindoy_03day_sw"
1972,67,67,0,67,0,"cy_mindoy_03day_sw"
1973,78,78,0,78,0,"cy_mindoy_03day_sw"
1974,75,75,0,75,0,"cy_mindoy_03day_sw"
1975,90,90,0,90,0,"cy_mindoy_03day_sw"
1976,99,99,0,99,0,"cy_mindoy_03day_sw"
1977,84,84,0,84,0,"cy_mindoy_03day_sw"
1978,97,97,0,97,0,"cy_mindoy_03day_sw"
1979,61,61,0,61,0,"cy_mindoy_03day_sw"
1980,102,102,0,102,0,"cy_mindoy_03day_sw"
1981,111,111,0,111,0,"cy_mindoy_03day_sw"
1982,89,89,0,89,0,"cy_mindoy_03day_sw"
1983,102,102,0,102,0,"cy_mindoy_03day_sw"
1984,19,19,0,19,0,"cy_mindoy_03day_sw"
1985,87,87,0,87,0,"cy_mindoy_03day_sw"
1986,84,84,0,84,0,"cy_mindoy_03day_sw"
1987,88,88,0,88,0,"cy_mindoy_03day_sw"
1988,103,103,0,103,0,"cy_mindoy_03day_sw"
1989,86,86,0,86,0,"cy_mindoy_03day_sw"
1990,54,54,0,54,0,"cy_mindoy_03day_sw"
1991,98,98,0,98,0,"cy_mindoy_03day_sw"
1992,42,42,0,42,0,"cy_mindoy_03day_sw"
1993,77,77,0,77,0,"cy_mindoy_03day_sw"
1994,84,84,0,84,0,"cy_mindoy_03day_sw"
1995,54,54,0,54,0,"cy_mindoy_03day_sw"
1996,31,31,0,31,0,"cy_mindoy_03day_sw"
1997,94,94,0,94,0,"cy_mindoy_03day_sw"
1998,74,74,0,74,0,"cy_mindoy_03day_sw"
1999,68,68,0,68,0,"cy_mindoy_03day_sw"
2000,103,103,0,103,0,"cy_mindoy_03day_sw"
2001,102,102,0,102,0,"cy_mindoy_03day_sw"
2002,101,101,0,101,0,"cy_mindoy_03day_sw"
2003,109,109,0,109,0,"cy_mindoy_03day_sw"
2004,88,88,0,88,0,"cy_mindoy_03day_sw"
2005,86,86,0,86,0,"cy_mindoy_03day_sw"
2006,76,76,0,76,0,"cy_mindoy_03day_sw"
2007,88,88,0,88,0,"cy_mindoy_03day_sw"
2008,115,115,0,115,0,"cy_mindoy_03day_sw"
2009,365,365,0,365,0,"cy_mindoy_03day_sw"
2010,365,365,0,365,0,"cy_mindoy_03day_sw"
2011,90,90,0,90,0,"cy_mindoy_03day_sw"
2012,99,99,0,99,0,"cy_mindoy_03day_sw"
2013,101,101,0,101,0,"cy_mindoy_03day_sw"
2014,94,94,0,94,0,"cy_mindoy_03day_sw"
2015,92,92,0,92,0,"cy_mindoy_03day_sw"
1966,125.286,125.285714285714,0.00028571428570956,125.285857142857,2.2804991099975e-06,"cy_min_07day_sw"
1967,221.429,221.428571428571,0.000428571428585656,221.428785714286,1.9354819979849e-06,"cy_min_07day_sw"
1968,204,204,0,204,0,"cy_min_07day_sw"
1969,158.429,158.428571428571,0.000428571428585656,158.428785714286,2.70513610675873e-06,"cy_min_07day_sw"
1970,206,206,0,206,0,"cy_min_07day_sw"
1971,176.286,176.285714285714,0.00028571428572377,176.285857142857,1.62074422959657e-06,"cy_min_07day_sw"
1972,158.143,158.142857142857,0.000142857142861885,158.142928571429,9.03341958773457e-07,"cy_min_07day_sw"
1973,156.429,156.428571428571,0.000428571428585656,156.428785714286,2.739722274444e-06,"cy_min_07day_sw"
1974,159.857,159.857142857143,-0.000142857142861885,159.857071428571,8.93655448490546e-07,"cy_min_07day_sw"
1975,194,194,0,194,0,"cy_min_07day_sw"
1976,222.571,222.571428571429,-0.000428571428585656,222.571214285714,1.92554742517377e-06,"cy_min_07day_sw"
1977,233.429,233.428571428571,0.000428571428585656,233.428785714286,1.83598362675897e-06,"cy_min_07day_sw"
1978,205.857,205.857142857143,-0.000142857142861885,205.857071428571,6.93962766838709e-07,"cy_min_07day_sw"
1979,203,203,0,203,0,"cy_min_07day_sw"
1980,243.143,243.142857142857,0.000142857142861885,243.142928571429,5.87543893220476e-07,"cy_min_07day_sw"
1981,232.714,232.714285714286,-0.00028571428572377,232.714142857143,1.22774783782335e-06,"cy_min_07day_sw"
1982,156.714,156.714285714286,-0.00028571428572377,156.714142857143,1.82315571852517e-06,"cy_min_07day_sw"
1983,183.429,183.428571428571,0.000428571428585656,183.428785714286,2.33644586871557e-06,"cy_min_07day_sw"
1984,182.571,182.571428571429,-0.000428571428585656,182.571214285714,2.34742059564201e-06,"cy_min_07day_sw"
1985,182,182,0,182,0,"cy_min_07day_sw"
1986,212.286,212.285714285714,0.00028571428572377,212.285857142857,1.34589411451701e-06,"cy_min_07day_sw"
1987,267.857,267.857142857143,-0.000142857142805042,267.857071428571,5.33333475361083e-07,"cy_min_07day_sw"
1988,251.429,251.428571428571,0.000428571428585656,251.428785714286,1.70454400186567e-06,"cy_min_07day_sw"
1989,184.571,184.571428571429,-0.000428571428585656,184.571214285714,2.32198412002769e-06,"cy_min_07day_sw"
1990,206.714,206.714285714286,-0.00028571428572377,206.714142857143,1.38217096215436e-06,"cy_min_07day_sw"
1991,236.571,236.571428571429,-0.000428571428585656,236.571214285714,1.81159584389695e-06,"cy_min_07day_sw"
1992,267.571,267.571428571429,-0.000428571428528812,267.571214285714,1.60170977163179e-06,"cy_min_07day_sw"
1993,264.429,264.428571428571,0.000428571428528812,264.428785714286,1.6207442293816e-06,"cy_min_07day_sw"
1994,167.143,167.142857142857,0.000142857142861885,167.142928571429,8.54700489472608e-07,"cy_min_07day_sw"
1995,230.429,230.428571428571,0.000428571428585656,230.428785714286,1.85988667716651e-06,"cy_min_07day_sw"
1996,213.143,213.142857142857,0.000142857142861885,213.142928571429,6.70241062273904e-07,"cy_min_07day_sw"
1997,179.429,179.428571428571,0.000428571428585656,179.428785714286,2.38853217938003e-06,"cy_min_07day_sw"
1998,194.286,194.285714285714,0.00028571428572377,194.285857142857,1.47058715402885e-06,"cy_min_07day_sw"
1999,195,195,0,195,0,"cy_min_07day_sw"
2000,247,247,0,247,0,"cy_min_07day_sw"
2001,236.429,236.428571428571,0.000428571428585656,236.428785714286,1.81268717889355e-06,"cy_min_07day_sw"
2002,230.714,230.714285714286,-0.00028571428572377,230.714142857143,1.23839085972585e-06,"cy_min_07day_sw"
2003,276.571,276.571428571429,-0.000428571428528812,276.571214285714,1.54958797731594e-06,"cy_min_07day_sw"
2004,259.571,259.571428571429,-0.000428571428528812,259.571214285714,1.65107456043672e-06,"cy_min_07day_sw"
2005,245.571,245.571428571429,-0.000428571428585656,245.571214285714,1.74520222100228e-06,"cy_min_07day_sw"
2006,301,301,0,301,0,"cy_min_07day_sw"
2007,297.429,297.428571428571,0.000428571428528812,297.428785714286,1.44092115193082e-06,"cy_min_07day_sw"
2008,235.286,235.285714285714,0.00028571428572377,235.285857142857,1.21432834592474e-06,"cy_min_07day_sw"
2009,303,303,0,303,0,"cy_min_07day_sw"
2010,318.286,318.285714285714,0.00028571428572377,318.285857142857,8.97665665350416e-07,"cy_min_07day_sw"
2011,241,241,0,241,0,"cy_min_07day_sw"
2012,256.286,256.285714285714,0.00028571428572377,256.285857142857,1.11482658040123e-06,"cy_min_07day_sw"
2013,256.857,256.857142857143,-0.000142857142805042,256.857071428571,5.56173680601854e-07,"cy_min_07day_sw"
2014,261.714,261.714285714286,-0.00028571428572377,261.714142857143,1.09170365271291e-06,"cy_min_07day_sw"
2015,285.286,285.285714285714,0.00028571428572377,285.285857142857,1.00150175191019e-06,"cy_min_07day_sw"
1966,84,84,0,84,0,"cy_mindoy_07day_sw"
1967,112,112,0,112,0,"cy_mindoy_07day_sw"
1968,103,103,0,103,0,"cy_mindoy_07day_sw"
1969,93,93,0,93,0,"cy_mindoy_07day_sw"
1970,86,86,0,86,0,"cy_mindoy_07day_sw"
1971,89,89,0,89,0,"cy_mindoy_07day_sw"
1972,70,70,0,70,0,"cy_mindoy_07day_sw"
1973,81,81,0,81,0,"cy_mindoy_07day_sw"
1974,77,77,0,77,0,"cy_mindoy_07day_sw"
1975,94,94,0,94,0,"cy_mindoy_07day_sw"
1976,100,100,0,100,0,"cy_mindoy_07day_sw"
1977,86,86,0,86,0,"cy_mindoy_07day_sw"
1978,101,101,0,101,0,"cy_mindoy_07day_sw"
1979,62,62,0,62,0,"cy_mindoy_07day_sw"
1980,105,105,0,105,0,"cy_mindoy_07day_sw"
1981,113,113,0,113,0,"cy_mindoy_07day_sw"
1982,91,91,0,91,0,"cy_mindoy_07day_sw"
1983,104,104,0,104,0,"cy_mindoy_07day_sw"
1984,22,22,0,22,0,"cy_mindoy_07day_sw"
1985,88,88,0,88,0,"cy_mindoy_07day_sw"
1986,85,85,0,85,0,"cy_mindoy_07day_sw"
1987,92,92,0,92,0,"cy_mindoy_07day_sw"
1988,105,105,0,105,0,"cy_mindoy_07day_sw"
1989,87,87,0,87,0,"cy_mindoy_07day_sw"
1990,55,55,0,55,0,"cy_mindoy_07day_sw"
1991,99,99,0,99,0,"cy_mindoy_07day_sw"
1992,44,44,0,44,0,"cy_mindoy_07day_sw"
1993,81,81,0,81,0,"cy_mindoy_07day_sw"
1994,86,86,0,86,0,"cy_mindoy_07day_sw"
1995,53,53,0,53,0,"cy_mindoy_07day_sw"
1996,32,32,0,32,0,"cy_mindoy_07day_sw"
1997,96,96,0,96,0,"cy_mindoy_07day_sw"
1998,76,76,0,76,0,"cy_mindoy_07day_sw"
1999,71,71,0,71,0,"cy_mindoy_07day_sw"
2000,104,104,0,104,0,"cy_mindoy_07day_sw"
2001,103,103,0,103,0,"cy_mindoy_07day_sw"
2002,103,103,0,103,0,"cy_mindoy_07day_sw"
2003,109,109,0,109,0,"cy_mindoy_07day_sw"
2004,90,90,0,90,0,"cy_mindoy_07day_sw"
2005,88,88,0,88,0,"cy_mindoy_07day_sw"
2006,78,78,0,78,0,"cy_mindoy_07day_sw"
2007,101,101,0,101,0,"cy_mindoy_07day_sw"
