"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
1,295.221935483871,295.2219,3.54838709881733e-05,295.221917741935,1.20193890953554e-07,"mean"
2,259.666430594901,259.6664,3.05949009771211e-05,259.66641529745,1.17823866217256e-07,"mean"
3,239.326451612903,239.3265,-4.83870969958389e-05,239.326475806452,2.02180292977575e-07,"mean"
4,302.684666666667,302.6847,-3.33333330218011e-05,302.684683333334,1.10125602176878e-07,"mean"
5,1684.62838709677,1684.628,0.000387096770054995,1684.62819354838,2.29781723669032e-07,"mean"
6,3753.64666666667,3753.647,-0.000333333329763263,3753.64683333334,8.88025284646331e-08,"mean"
7,2434.27096774194,2434.271,-3.22580604006362e-05,2434.27098387097,1.32516308226866e-08,"mean"
8,1480.28387096774,1480.284,-0.000129032260019812,1480.28393548387,8.7167236586699e-08,"mean"
9,1271.82266666667,1271.823,-0.000333333329990637,1271.82283333333,2.6209100926188e-07,"mean"
10,1039.45741935484,1039.457,0.000419354840005326,1039.45720967742,4.03436366693215e-07,"mean"
11,521.596666666667,521.5967,-3.33333330218011e-05,521.596683333334,6.39063362304759e-08,"mean"
12,370.335483870968,370.3355,-1.61290320193075e-05,370.335491935484,4.35524878671832e-08,"mean"
13,1140.8245537181,1140.825,-0.000446281899940004,1140.82477685905,3.91192327684817e-07,"mean"
1,294.5,294.5,0,294.5,0,"median"
2,261.5,261.5,0,261.5,0,"median"
3,240,240,0,240,0,"median"
4,260,260,0,260,0,"median"
5,1350,1350,0,1350,0,"median"
6,3620,3620,0,3620,0,"median"
7,2290,2290,0,2290,0,"median"
8,1410,1410,0,1410,0,"median"
9,1200,1200,0,1200,0,"median"
10,990,990,0,990,0,"median"
11,492.5,492.5,0,492.5,0,"median"
12,357,357,0,357,0,"median"
13,670,670,0,670,0,"median"
1,473,473,0,473,0,"max"
2,392,392,0,392,0,"max"
3,381,381,0,381,0,"max"
4,1570,1570,0,1570,0,"max"
5,6500,6500,0,6500,0,"max"
6,9000,9000,0,9000,0,"max"
7,6540,6540,0,6540,0,"max"
8,3540,3540,0,3540,0,"max"
9,2590,2590,0,2590,0,"max"
10,2650,2650,0,2650,0,"max"
11,1090,1090,0,1090,0,"max"
12,723,723,0,723,0,"max"
13,9000,NA,NA,NA,NA,"max"
1,150,150,0,150,0,"min"
2,132,132,0,132,0,"min"
3,125,125,0,125,0,"min"
4,129,129,0,129,0,"min"
5,205,205,0,205,0,"min"
6,1150,1150,0,1150,0,"min"
7,1060,1060,0,1060,0,"min"
8,786,786,0,786,0,"min"
9,652,652,0,652,0,"min"
10,343,343,0,343,0,"min"
11,181,181,0,181,0,"min"
12,186,186,0,186,0,"min"
13,125,NA,NA,NA,NA,"min"
