"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Apr",152.97,152.97,-2.8421709430404e-14,152.97,1.85799237957796e-16,"P01"
"Aug",823.49,823.49,0,823.49,0,"P01"
"Dec",219.49,219.49,0,219.49,0,"P01"
"Feb",139.11,139.11,0,139.11,0,"P01"
"Jan",170,170,0,170,0,"P01"
"Jul",1180,1180,0,1180,0,"P01"
"Jun",1490,1490,0,1490,0,"P01"
"Mar",127,127,0,127,0,"P01"
"May",280.45,280.45,-1.13686837721616e-13,280.45,4.05372928228262e-16,"P01"
"Nov",249,249,0,249,0,"P01"
"Oct",522.47,522.47,0,522.47,0,"P01"
"Sep",682.99,682.99,0,682.99,0,"P01"
"Apr",170,170,0,170,0,"P05"
"Aug",938.35,938.35,-2.27373675443232e-13,938.35,2.42312224056303e-16,"P05"
"Dec",252,252,0,252,0,"P05"
"Feb",166.55,166.55,-5.6843418860808e-14,166.55,3.41299422760781e-16,"P05"
"Jan",187,187,0,187,0,"P05"
"Jul",1294.5,1294.5,-6.82121026329696e-13,1294.5,5.26937834167397e-16,"P05"
"Jun",1959,1959,-1.13686837721616e-12,1959,5.80330973566187e-16,"P05"
"Mar",159.45,159.45,-8.5265128291212e-14,159.45,5.34745238577686e-16,"P05"
"May",453,453,0,453,0,"P05"
"Nov",317.95,317.95,-5.6843418860808e-14,317.95,1.78780999719478e-16,"P05"
"Oct",637,637,0,637,0,"P05"
"Sep",839.85,839.85,-1.13686837721616e-13,839.85,1.35365645914885e-16,"P05"
"Apr",188,188,0,188,0,"P10"
"Aug",1010,1010,0,1010,0,"P10"
"Dec",283,283,0,283,0,"P10"
"Feb",177,177,0,177,0,"P10"
"Jan",210,210,0,210,0,"P10"
"Jul",1460,1460,0,1460,0,"P10"
"Jun",2360,2360,0,2360,0,"P10"
"Mar",166,166,0,166,0,"P10"
"May",571.8,571.8,0,571.8,0,"P10"
"Nov",357.9,357.9,0,357.9,0,"P10"
"Oct",690,690,0,690,0,"P10"
"Sep",917.9,917.9,0,917.9,0,"P10"
"Apr",205,205,0,205,0,"P15"
"Aug",1080,1080,0,1080,0,"P15"
"Dec",297,297,0,297,0,"P15"
"Feb",193.3,193.3,-5.6843418860808e-14,193.3,2.94068385208526e-16,"P15"
"Jan",227,227,0,227,0,"P15"
"Jul",1610,1610,0,1610,0,"P15"
"Jun",2580,2580,0,2580,0,"P15"
"Mar",183,183,0,183,0,"P15"
"May",670.05,670.05,-1.13686837721616e-13,670.05,1.69669185466183e-16,"P15"
"Nov",381.7,381.7,-5.6843418860808e-14,381.7,1.48921715642672e-16,"P15"
"Oct",736,736,0,736,0,"P15"
"Sep",971,971,0,971,0,"P15"
"Apr",215,215,0,215,0,"P20"
"Aug",1160,1160,0,1160,0,"P20"
"Dec",309,309,0,309,0,"P20"
"Feb",209,209,0,209,0,"P20"
"Jan",237,237,0,237,0,"P20"
"Jul",1700,1700,0,1700,0,"P20"
"Jun",2750,2750,0,2750,0,"P20"
"Mar",192,192,0,192,0,"P20"
"May",776,776,0,776,0,"P20"
"Nov",399.8,399.8,5.6843418860808e-14,399.8,1.42179636970505e-16,"P20"
"Oct",778.6,778.6,1.13686837721616e-13,778.6,1.46014433241223e-16,"P20"
"Sep",1000,1000,0,1000,0,"P20"
"Apr",225,225,0,225,0,"P25"
"Aug",1210,1210,0,1210,0,"P25"
"Dec",320,320,0,320,0,"P25"
"Feb",216,216,0,216,0,"P25"
"Jan",249,249,0,249,0,"P25"
"Jul",1810,1810,0,1810,0,"P25"
"Jun",2920,2920,0,2920,0,"P25"
"Mar",202,202,0,202,0,"P25"
"May",889.25,889.25,0,889.25,0,"P25"
"Nov",412,412,0,412,0,"P25"
"Oct",818,818,0,818,0,"P25"
"Sep",1040,1040,0,1040,0,"P25"
"Apr",233,233,0,233,0,"P30"
"Aug",1250,1250,0,1250,0,"P30"
"Dec",326,326,0,326,0,"P30"
"Feb",222,222,0,222,0,"P30"
"Jan",255,255,0,255,0,"P30"
"Jul",1900,1900,0,1900,0,"P30"
"Jun",3100,3100,0,3100,0,"P30"
"Mar",210,210,0,210,0,"P30"
"May",972.4,972.4,-1.13686837721616e-13,972.4,1.16913654588252e-16,"P30"
"Nov",422,422,0,422,0,"P30"
"Oct",852,852,0,852,0,"P30"
"Sep",1070,1070,0,1070,0,"P30"
"Apr",240,240,0,240,0,"P35"
"Aug",1300,1300,0,1300,0,"P35"
"Dec",334,334,0,334,0,"P35"
"Feb",229,229,0,229,0,"P35"
"Jan",263,263,0,263,0,"P35"
"Jul",1991.5,1991.5,2.27373675443232e-13,1991.5,1.14172069014929e-16,"P35"
"Jun",3260,3260,0,3260,0,"P35"
"Mar",216.15,216.15,2.8421709430404e-14,216.15,1.31490675134879e-16,"P35"
"May",1030,1030,0,1030,0,"P35"
"Nov",440,440,0,440,0,"P35"
"Oct",883.15,883.15,0,883.15,0,"P35"
"Sep",1100,1100,0,1100,0,"P35"
"Apr",248,248,0,248,0,"P40"
"Aug",1340,1340,0,1340,0,"P40"
"Dec",340.6,340.6,0,340.6,0,"P40"
"Feb",236.4,236.4,2.8421709430404e-14,236.4,1.20227197252132e-16,"P40"
"Jan",270,270,0,270,0,"P40"
"Jul",2080,2080,0,2080,0,"P40"
"Jun",3370,3370,0,3370,0,"P40"
"Mar",223,223,0,223,0,"P40"
"May",1130,1130,0,1130,0,"P40"
"Nov",455,455,0,455,0,"P40"
"Oct",921,921,0,921,0,"P40"
"Sep",1140,1140,0,1140,0,"P40"
"Apr",255,255,0,255,0,"P45"
"Aug",1380,1380,0,1380,0,"P45"
"Dec",348,348,0,348,0,"P45"
"Feb",248,248,0,248,0,"P45"
"Jan",281,281,0,281,0,"P45"
"Jul",2170.5,2170.5,4.54747350886464e-13,2170.5,2.09512716372478e-16,"P45"
"Jun",3490,3490,0,3490,0,"P45"
"Mar",232,232,0,232,0,"P45"
"May",1240,1240,0,1240,0,"P45"
"Nov",475,475,0,475,0,"P45"
"Oct",954.1,954.1,1.13686837721616e-13,954.1,1.19156102842067e-16,"P45"
"Sep",1160,1160,0,1160,0,"P45"
"Apr",260,260,0,260,0,"P50"
"Aug",1410,1410,0,1410,0,"P50"
"Dec",357,357,0,357,0,"P50"
"Feb",261.5,261.5,0,261.5,0,"P50"
"Jan",294.5,294.5,0,294.5,0,"P50"
"Jul",2290,2290,0,2290,0,"P50"
"Jun",3620,3620,0,3620,0,"P50"
"Mar",240,240,0,240,0,"P50"
"May",1350,1350,0,1350,0,"P50"
"Nov",492.5,492.5,0,492.5,0,"P50"
"Oct",990,990,0,990,0,"P50"
"Sep",1200,1200,0,1200,0,"P50"
"Apr",268,268,0,268,0,"P55"
"Aug",1460,1460,0,1460,0,"P55"
"Dec",365,365,0,365,0,"P55"
"Feb",272,272,0,272,0,"P55"
"Jan",306,306,0,306,0,"P55"
"Jul",2410,2410,0,2410,0,"P55"
"Jun",3770,3770,0,3770,0,"P55"
"Mar",248,248,0,248,0,"P55"
"May",1490,1490,0,1490,0,"P55"
"Nov",510,510,0,510,0,"P55"
"Oct",1020,1020,0,1020,0,"P55"
"Sep",1240,1240,0,1240,0,"P55"
"Apr",280,280,0,280,0,"P60"
"Aug",1500,1500,0,1500,0,"P60"
"Dec",375,375,0,375,0,"P60"
"Feb",283,283,0,283,0,"P60"
"Jan",311,311,0,311,0,"P60"
"Jul",2520,2520,0,2520,0,"P60"
"Jun",3914,3914,0,3914,0,"P60"
"Mar",256,256,0,256,0,"P60"
"May",1650,1650,0,1650,0,"P60"
"Nov",526.4,526.4,0,526.4,0,"P60"
"Oct",1060,1060,0,1060,0,"P60"
"Sep",1290,1290,0,1290,0,"P60"
"Apr",294,294,0,294,0,"P65"
"Aug",1550,1550,0,1550,0,"P65"
"Dec",388,388,0,388,0,"P65"
"Feb",290,290,0,290,0,"P65"
"Jan",319,319,0,319,0,"P65"
"Jul",2630,2630,0,2630,0,"P65"
"Jun",4073.5,4073.5,0,4073.5,0,"P65"
"Mar",263,263,0,263,0,"P65"
"May",1800,1800,0,1800,0,"P65"
"Nov",548.35,548.35,0,548.35,0,"P65"
"Oct",1100,1100,0,1100,0,"P65"
"Sep",1340,1340,0,1340,0,"P65"
"Apr",306,306,0,306,0,"P70"
"Aug",1610,1610,0,1610,0,"P70"
"Dec",400,400,0,400,0,"P70"
"Feb",300,300,0,300,0,"P70"
"Jan",328,328,0,328,0,"P70"
"Jul",2763,2763,4.54747350886464e-13,2763,1.64584636585763e-16,"P70"
"Jun",4250,4250,0,4250,0,"P70"
"Mar",267,267,0,267,0,"P70"
"May",2020,2020,0,2020,0,"P70"
"Nov",570,570,0,570,0,"P70"
"Oct",1150,1150,0,1150,0,"P70"
"Sep",1390,1390,0,1390,0,"P70"
"Apr",320,320,0,320,0,"P75"
"Aug",1670,1670,0,1670,0,"P75"
"Dec",416.75,416.75,0,416.75,0,"P75"
"Feb",307,307,0,307,0,"P75"
"Jan",340,340,0,340,0,"P75"
"Jul",2910,2910,0,2910,0,"P75"
"Jun",4480,4480,0,4480,0,"P75"
"Mar",274,274,0,274,0,"P75"
"May",2240,2240,0,2240,0,"P75"
"Nov",600,600,0,600,0,"P75"
"Oct",1200,1200,0,1200,0,"P75"
"Sep",1452.5,1452.5,0,1452.5,0,"P75"
"Apr",342.2,342.2,-5.6843418860808e-14,342.2,1.66111685741695e-16,"P80"
"Aug",1770,1770,0,1770,0,"P80"
"Dec",440,440,0,440,0,"P80"
"Feb",313.8,313.8,5.6843418860808e-14,313.8,1.81145375592122e-16,"P80"
"Jan",353,353,0,353,0,"P80"
"Jul",3060,3060,0,3060,0,"P80"
"Jun",4700,4700,0,4700,0,"P80"
"Mar",280.2,280.2,-5.6843418860808e-14,280.2,2.02867304999315e-16,"P80"
"May",2510,2510,0,2510,0,"P80"
"Nov",640,640,0,640,0,"P80"
"Oct",1280,1280,0,1280,0,"P80"
"Sep",1510,1510,0,1510,0,"P80"
"Apr",386.3,386.3,2.8421709430404e-13,386.3,7.35741895687394e-16,"P85"
"Aug",1876.5,1876.5,1.36424205265939e-12,1876.5,7.27014150098264e-16,"P85"
"Dec",456,456,0,456,0,"P85"
"Feb",323,323,0,323,0,"P85"
"Jan",370,370,0,370,0,"P85"
"Jul",3270,3270,0,3270,0,"P85"
"Jun",4961.5,4961.5,1.81898940354586e-12,4961.5,3.66620861341501e-16,"P85"
"Mar",300,300,0,300,0,"P85"
"May",2860,2860,0,2860,0,"P85"
"Nov",676.15,676.15,1.13686837721616e-13,676.15,1.68138486610391e-16,"P85"
"Oct",1360,1360,0,1360,0,"P85"
"Sep",1620,1620,0,1620,0,"P85"
"Apr",450,450,0,450,0,"P90"
"Aug",2001,2001,-1.36424205265939e-12,2001,6.81780136261565e-16,"P90"
"Dec",477,477,0,477,0,"P90"
"Feb",336,336,0,336,0,"P90"
"Jan",391,391,0,391,0,"P90"
"Jul",3570,3570,0,3570,0,"P90"
"Jun",5290,5290,0,5290,0,"P90"
"Mar",308,308,0,308,0,"P90"
"May",3233,3233,-4.09272615797818e-12,3233,1.26592210268425e-15,"P90"
"Nov",747.1,747.1,-1.13686837721616e-13,747.1,1.52170844226497e-16,"P90"
"Oct",1471,1471,-1.36424205265939e-12,1471,9.27424916831674e-16,"P90"
"Sep",1750,1750,0,1750,0,"P90"
"Apr",600,600,0,600,0,"P95"
"Aug",2250,2250,0,2250,0,"P95"
"Dec",509.55,509.55,5.6843418860808e-14,509.55,1.11556115907777e-16,"P95"
"Feb",347,347,0,347,0,"P95"
"Jan",404,404,0,404,0,"P95"
"Jul",4105.5,4105.5,0,4105.5,0,"P95"
"Jun",5810,5810,0,5810,0,"P95"
"Mar",321,321,0,321,0,"P95"
"May",3900,3900,0,3900,0,"P95"
"Nov",832.35,832.35,3.41060513164848e-13,832.35,4.09756128028892e-16,"P95"
"Oct",1630,1630,0,1630,0,"P95"
"Sep",1920,1920,0,1920,0,"P95"
"Apr",770.1,770.1,1.13686837721616e-13,770.1,1.47626071577219e-16,"P98"
"Aug",2480.2,2480.2,0,2480.2,0,"P98"
"Dec",565.1,565.1,1.13686837721616e-13,565.1,2.01180034899338e-16,"P98"
"Feb",373.56,373.56,5.6843418860808e-14,373.56,1.52166770694957e-16,"P98"
"Jan",424.02,424.02,0,424.02,0,"P98"
"Jul",4670,4670,0,4670,0,"P98"
"Jun",6622,6622,1.81898940354586e-12,6622,2.74688825663826e-16,"P98"
"Mar",349.1,349.1,1.13686837721616e-13,349.1,3.25656939907236e-16,"P98"
"May",4771.6,4771.6,1.81898940354586e-12,4771.6,3.81211627870286e-16,"P98"
"Nov",943.06,943.06,0,943.06,0,"P98"
"Oct",1800.2,1800.2,2.27373675443232e-13,1800.2,1.26304674726826e-16,"P98"
"Sep",2120,2120,0,2120,0,"P98"
"Apr",922.04,922.04,0,922.04,0,"P99"
"Aug",2825.1,2825.1,0,2825.1,0,"P99"
"Dec",597.51,597.51,0,597.51,0,"P99"
"Feb",388,388,0,388,0,"P99"
"Jan",450,450,0,450,0,"P99"
"Jul",5140.2,5140.2,0,5140.2,0,"P99"
"Jun",7160.6,7160.6,9.09494701772928e-13,7160.6,1.27013756078112e-16,"P99"
"Mar",369.51,369.51,0,369.51,0,"P99"
"May",5335.1,5335.1,0,5335.1,0,"P99"
"Nov",998.02,998.02,0,998.02,0,"P99"
"Oct",1985.1,1985.1,0,1985.1,0,"P99"
"Sep",2210,2210,0,2210,0,"P99"
