"Year","Measure","value.Q","value.HEC","diff","mean","pdiff"
0.01,"Q001-avg-q",126.552,126.554,-0.00199999999999534,126.553,1.58036553854538e-05
0.01,"Q003-avg-q",126.836,126.838,-0.00199999999999534,126.837,1.57682695112257e-05
0.01,"Q007-avg-q",127.317,127.318,-0.00100000000000477,127.3175,7.85437979857266e-06
0.01,"Q015-avg-q",128.441,128.443,-0.00200000000000955,128.442,1.55712305944282e-05
0.05,"Q001-avg-q",150.795,150.799,-0.0040000000000191,150.797,2.65257266392508e-05
0.05,"Q003-avg-q",151.225,151.228,-0.00300000000001432,151.2265,1.98377929794998e-05
0.05,"Q007-avg-q",152.033,152.035,-0.00200000000000955,152.034,1.31549521818116e-05
0.05,"Q015-avg-q",153.682,153.685,-0.00300000000001432,153.6835,1.95206381948246e-05
0.1,"Q001-avg-q",164.716,164.72,-0.00399999999999068,164.718,2.42839276824068e-05
0.1,"Q003-avg-q",165.223,165.226,-0.0029999999999859,165.2245,1.81571135030574e-05
0.1,"Q007-avg-q",166.204,166.206,-0.00199999999998113,166.205,1.20333323304421e-05
0.1,"Q015-avg-q",168.114,168.117,-0.0029999999999859,168.1155,1.78448745058362e-05
0.2,"Q001-avg-q",182.447,182.45,-0.0029999999999859,182.4485,1.64429962426981e-05
0.2,"Q003-avg-q",183.042,183.044,-0.00200000000000955,183.043,1.09263943445505e-05
0.2,"Q007-avg-q",184.224,184.225,-0.00100000000000477,184.2245,5.42815966391427e-06
0.2,"Q015-avg-q",186.412,186.414,-0.00199999999998113,186.413,1.0728865476019e-05
0.5,"Q001-avg-q",218.775,218.775,0,218.775,0
0.5,"Q003-avg-q",219.508,219.508,0,219.508,0
0.5,"Q007-avg-q",221.009,221.009,0,221.009,0
0.5,"Q015-avg-q",223.545,223.545,0,223.545,0
0.8,"Q001-avg-q",257.7,257.695,0.00499999999999545,257.6975,1.94025941268171e-05
0.8,"Q003-avg-q",258.506,258.502,0.00399999999996226,258.504,1.54736483766683e-05
0.8,"Q007-avg-q",260.178,260.176,0.00200000000000955,260.177,7.68707456850356e-06
0.8,"Q015-avg-q",262.695,262.692,0.0029999999999859,262.6935,1.14201531442e-05
0.9,"Q001-avg-q",278.811,278.805,0.00599999999997181,278.808,2.15201859343054e-05
0.9,"Q003-avg-q",279.617,279.612,0.00499999999999545,279.6145,1.78817622118862e-05
0.9,"Q007-avg-q",281.296,281.293,0.0029999999999859,281.2945,1.06649792299028e-05
0.9,"Q015-avg-q",283.609,283.605,0.00399999999996226,283.607,1.41040242305805e-05
0.95,"Q001-avg-q",296.519,296.513,0.00600000000002865,296.516,2.02349957507475e-05
0.95,"Q003-avg-q",297.302,297.297,0.00499999999999545,297.2995,1.68180572116517e-05
0.95,"Q007-avg-q",298.932,298.929,0.00300000000004275,298.9305,1.00357775470979e-05
0.95,"Q015-avg-q",300.959,300.955,0.0040000000000191,300.957,1.32909352499497e-05
0.99,"Q001-avg-q",330.116,330.115,0.000999999999976353,330.1155,3.02924279525303e-06
0.99,"Q003-avg-q",330.79,330.789,0.0010000000000332,330.7895,3.0230705631019e-06
0.99,"Q007-avg-q",332.181,332.18,0.000999999999976353,332.1805,3.01041150812993e-06
0.99,"Q015-avg-q",333.354,333.354,0,333.354,0
1966,"Q001-avg",125,125,0,125,0
1966,"Q001-pp",0.0196078431372549,0.0196,7.84313725490232e-06,0.0196039215686275,0.000400080016003219
1966,"Q003-avg",125,125,0,125,0
1966,"Q003-pp",0.0196078431372549,0.0196,7.84313725490232e-06,0.0196039215686275,0.000400080016003219
1966,"Q007-avg",125.286,125.286,0,125.286,0
1966,"Q007-pp",0.0196078431372549,0.0196,7.84313725490232e-06,0.0196039215686275,0.000400080016003219
1966,"Q015-avg",126,126,0,126,0
1966,"Q015-pp",0.0196078431372549,0.0196,7.84313725490232e-06,0.0196039215686275,0.000400080016003219
1967,"Q001-avg",221,221,0,221,0
1967,"Q001-pp",0.470588235294118,0.4706,-1.17647058820447e-05,0.470594117647059,2.49996875032512e-05
1967,"Q003-avg",221,221,0,221,0
1967,"Q003-pp",0.470588235294118,0.4706,-1.17647058820447e-05,0.470594117647059,2.49996875032512e-05
1967,"Q007-avg",221.429,221.429,0,221.429,0
1967,"Q007-pp",0.470588235294118,0.4706,-1.17647058820447e-05,0.470594117647059,2.49996875032512e-05
1967,"Q015-avg",222.267,222.267,0,222.267,0
1967,"Q015-pp",0.470588235294118,0.4706,-1.17647058820447e-05,0.470594117647059,2.49996875032512e-05
1968,"Q001-avg",204,204,0,204,0
1968,"Q001-pp",0.352941176470588,0.3529,4.11764705879891e-05,0.352920588235294,0.000116673472618539
1968,"Q003-avg",204,204,0,204,0
1968,"Q003-pp",0.352941176470588,0.3529,4.11764705879891e-05,0.352920588235294,0.000116673472618539
1968,"Q007-avg",204,204,0,204,0
1968,"Q007-pp",0.352941176470588,0.3529,4.11764705879891e-05,0.352920588235294,0.000116673472618539
1968,"Q015-avg",204.933,204.933,0,204.933,0
1968,"Q015-pp",0.333333333333333,0.3333,3.33333333329966e-05,0.333316666666666,0.000100005000249002
1969,"Q001-avg",157,157,0,157,0
1969,"Q001-pp",0.0784313725490196,0.0784,3.13725490196093e-05,0.0784156862745098,0.000400080016003219
1969,"Q003-avg",157.333,157.333,0,157.333,0
1969,"Q003-pp",0.0784313725490196,0.0784,3.13725490196093e-05,0.0784156862745098,0.000400080016003219
1969,"Q007-avg",158.429,158.429,0,158.429,0
1969,"Q007-pp",0.0980392156862745,0.098,3.92156862744908e-05,0.0980196078431372,0.000400080016003007
1969,"Q015-avg",161.467,161.467,0,161.467,0
1969,"Q015-pp",0.0980392156862745,0.098,3.92156862744908e-05,0.0980196078431372,0.000400080016003007
1970,"Q001-avg",205,205,0,205,0
1970,"Q001-pp",0.392156862745098,0.3922,-4.31372549020148e-05,0.392178431372549,0.000109993950332869
1970,"Q003-avg",205,205,0,205,0
1970,"Q003-pp",0.392156862745098,0.3922,-4.31372549020148e-05,0.392178431372549,0.000109993950332869
1970,"Q007-avg",206,206,0,206,0
1970,"Q007-pp",0.392156862745098,0.3922,-4.31372549020148e-05,0.392178431372549,0.000109993950332869
1970,"Q015-avg",206.8,206.8,0,206.8,0
1970,"Q015-pp",0.392156862745098,0.3922,-4.31372549020148e-05,0.392178431372549,0.000109993950332869
1971,"Q001-avg",175,175,0,175,0
1971,"Q001-pp",0.156862745098039,0.1569,-3.72549019609925e-05,0.156881372549019,0.00023747180022505
1971,"Q003-avg",175.333,175.333,0,175.333,0
1971,"Q003-pp",0.156862745098039,0.1569,-3.72549019609925e-05,0.156881372549019,0.00023747180022505
1971,"Q007-avg",176.286,176.286,0,176.286,0
1971,"Q007-pp",0.156862745098039,0.1569,-3.72549019609925e-05,0.156881372549019,0.00023747180022505
1971,"Q015-avg",180,180,0,180,0
1971,"Q015-pp",0.156862745098039,0.1569,-3.72549019609925e-05,0.156881372549019,0.00023747180022505
1972,"Q001-avg",157,157,0,157,0
1972,"Q001-pp",0.0980392156862745,0.098,3.92156862744908e-05,0.0980196078431372,0.000400080016003007
1972,"Q003-avg",157.667,157.667,0,157.667,0
1972,"Q003-pp",0.0980392156862745,0.098,3.92156862744908e-05,0.0980196078431372,0.000400080016003007
1972,"Q007-avg",158.143,158.143,0,158.143,0
1972,"Q007-pp",0.0784313725490196,0.0784,3.13725490196093e-05,0.0784156862745098,0.000400080016003219
1972,"Q015-avg",159.2,159.2,0,159.2,0
1972,"Q015-pp",0.0784313725490196,0.0784,3.13725490196093e-05,0.0784156862745098,0.000400080016003219
1973,"Q001-avg",156,156,0,156,0
1973,"Q001-pp",0.0588235294117647,0.0588,2.35294117647e-05,0.0588117647058823,0.000400080016003101
1973,"Q003-avg",156,156,0,156,0
1973,"Q003-pp",0.0588235294117647,0.0588,2.35294117647e-05,0.0588117647058823,0.000400080016003101
1973,"Q007-avg",156.429,156.429,0,156.429,0
1973,"Q007-pp",0.0392156862745098,0.0392,1.56862745098046e-05,0.0392078431372549,0.000400080016003219
1973,"Q015-avg",157.733,157.733,0,157.733,0
1973,"Q015-pp",0.0392156862745098,0.0392,1.56862745098046e-05,0.0392078431372549,0.000400080016003219
1974,"Q001-avg",159,159,0,159,0
1974,"Q001-pp",0.117647058823529,0.1176,4.70588235289976e-05,0.117623529411764,0.00040008001599968
1974,"Q003-avg",159,159,0,159,0
1974,"Q003-pp",0.117647058823529,0.1176,4.70588235289976e-05,0.117623529411764,0.00040008001599968
1974,"Q007-avg",159.857,159.857,0,159.857,0
1974,"Q007-pp",0.117647058823529,0.1176,4.70588235289976e-05,0.117623529411764,0.00040008001599968
1974,"Q015-avg",162.467,162.467,0,162.467,0
1974,"Q015-pp",0.117647058823529,0.1176,4.70588235289976e-05,0.117623529411764,0.00040008001599968
1975,"Q001-avg",194,194,0,194,0
1975,"Q001-pp",0.313725490196078,0.3137,2.54901960779486e-05,0.313712745098039,8.12533009138107e-05
1975,"Q003-avg",194,194,0,194,0
1975,"Q003-pp",0.313725490196078,0.3137,2.54901960779486e-05,0.313712745098039,8.12533009138107e-05
1975,"Q007-avg",194,194,0,194,0
1975,"Q007-pp",0.274509803921569,0.2745,9.80392156901821e-06,0.274504901960784,3.57149234821999e-05
1975,"Q015-avg",194.6,194.6,0,194.6,0
1975,"Q015-pp",0.274509803921569,0.2745,9.80392156901821e-06,0.274504901960784,3.57149234821999e-05
1976,"Q001-avg",221,221,0,221,0
1976,"Q001-pp",0.490196078431373,0.4902,-3.92156862705217e-06,0.490198039215686,7.99996799931443e-06
1976,"Q003-avg",221.333,221.333,0,221.333,0
1976,"Q003-pp",0.490196078431373,0.4902,-3.92156862705217e-06,0.490198039215686,7.99996799931443e-06
1976,"Q007-avg",222.571,222.571,0,222.571,0
1976,"Q007-pp",0.490196078431373,0.4902,-3.92156862705217e-06,0.490198039215686,7.99996799931443e-06
1976,"Q015-avg",223.2,223.2,0,223.2,0
1976,"Q015-pp",0.490196078431373,0.4902,-3.92156862705217e-06,0.490198039215686,7.99996799931443e-06
1977,"Q001-avg",231,231,0,231,0
1977,"Q001-pp",0.549019607843137,0.549,1.96078431370372e-05,0.549009803921569,3.571492348038e-05
1977,"Q003-avg",231.667,231.667,0,231.667,0
1977,"Q003-pp",0.568627450980392,0.5686,2.74509803920298e-05,0.568613725490196,4.82770273762994e-05
1977,"Q007-avg",233.429,233.429,0,233.429,0
1977,"Q007-pp",0.568627450980392,0.5686,2.74509803920298e-05,0.568613725490196,4.82770273762994e-05
1977,"Q015-avg",236.733,236.733,0,236.733,0
1977,"Q015-pp",0.568627450980392,0.5686,2.74509803920298e-05,0.568613725490196,4.82770273762994e-05
1978,"Q001-avg",205,205,0,205,0
1978,"Q001-pp",0.411764705882353,0.4118,-3.52941176470223e-05,0.411782352941176,8.57106124022369e-05
1978,"Q003-avg",205.667,205.667,0,205.667,0
1978,"Q003-pp",0.411764705882353,0.4118,-3.52941176470223e-05,0.411782352941176,8.57106124022369e-05
1978,"Q007-avg",205.857,205.857,0,205.857,0
1978,"Q007-pp",0.372549019607843,0.3725,4.90196078429816e-05,0.372524509803921,0.000131587604447243
1978,"Q015-avg",206.733,206.733,0,206.733,0
1978,"Q015-pp",0.372549019607843,0.3725,4.90196078429816e-05,0.372524509803921,0.000131587604447243
1979,"Q001-avg",201,201,0,201,0
1979,"Q001-pp",0.333333333333333,0.3333,3.33333333329966e-05,0.333316666666666,0.000100005000249002
1979,"Q003-avg",201.667,201.667,0,201.667,0
