"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"P01",450,388,369.51,922.04,5335.1,7160.6,5140.2,2825.1,2210,1985.1,998.02,597.51
"P02",424.02,373.56,349.1,770.1,4771.6,6622,4670,2480.2,2120,1800.2,943.06,565.1
"P05",404,347,321,600,3900,5810,4105.5,2250,1920,1630,832.35,509.55
"P10",391,336,308,450,3233,5290,3570,2001,1750,1471,747.1,477
"P15",370,323,300,386.3,2860,4961.5,3270,1876.5,1620,1360,676.15,456
"P20",353,313.8,280.2,342.2,2510,4700,3060,1770,1510,1280,640,440
"P25",340,307,274,320,2240,4480,2910,1670,1452.5,1200,600,416.75
"P30",328,300,267,306,2020,4250,2763,1610,1390,1150,570,400
"P35",319,290,263,294,1800,4073.5,2630,1550,1340,1100,548.35,388
"P40",311,283,256,280,1650,3914,2520,1500,1290,1060,526.4,375
"P45",306,272,248,268,1490,3770,2410,1460,1240,1020,510,365
"P50",294.5,261.5,240,260,1350,3620,2290,1410,1200,990,492.5,357
"P55",281,248,232,255,1240,3490,2170.5,1380,1160,954.1,475,348
"P60",270,236.4,223,248,1130,3370,2080,1340,1140,921,455,340.6
"P65",263,229,216.15,240,1030,3260,1991.5,1300,1100,883.15,440,334
"P70",255,222,210,233,972.4,3100,1900,1250,1070,852,422,326
"P75",249,216,202,225,889.25,2920,1810,1210,1040,818,412,320
"P80",237,209,192,215,776,2750,1700,1160,1000,778.6,399.8,309
"P85",227,193.3,183,205,670.05,2580,1610,1080,971,736,381.7,297
"P90",210,177,166,188,571.8,2360,1460,1010,917.9,690,357.9,283
"P95",187,166.55,159.45,170,453,1959,1294.5,938.35,839.85,637,317.95,252
"P99",170,139.11,127,152.97,280.45,1490,1180,823.49,682.99,522.47,249,219.49
