"Month","P01","P02","P05","P10","P15","P20","P25","P30","P35","P40","P45","P50","P55","P60","P65","P70","P75","P80","P85","P90","P95","P98","P99"
"Jan",170,178,187,210,227,237,249,255,263,270,281,294.5,306,311,319,328,340,353,370,391,404,424.02,450
"Feb",139.11,158,166.55,177,193.3,209,216,222,229,236.4,248,261.5,272,283,290,300,307,313.8,323,336,347,373.56,388
"Mar",127,154.54,159.45,166,183,192,202,210,216.15,223,232,240,248,256,263,267,274,280.2,300,308,321,349.1,369.51
"Apr",152.97,161,170,188,205,215,225,233,240,248,255,260,268,280,294,306,320,342.2,386.3,450,600,770.1,922.04
"May",280.45,340,453,571.8,670.05,776,889.25,972.4,1030,1130,1240,1350,1490,1650,1800,2020,2240,2510,2860,3233,3900,4771.6,5335.1
"Jun",1490,1620,1959,2360,2580,2750,2920,3100,3260,3370,3490,3620,3770,3914,4073.5,4250,4480,4700,4961.5,5290,5810,6622,7160.6
"Jul",1180,1209.8,1294.5,1460,1610,1700,1810,1900,1991.5,2080,2170.5,2290,2410,2520,2630,2763,2910,3060,3270,3570,4105.5,4670,5140.2
"Aug",823.49,847,938.35,1010,1080,1160,1210,1250,1300,1340,1380,1410,1460,1500,1550,1610,1670,1770,1876.5,2001,2250,2480.2,2825.1
"Sep",682.99,720.96,839.85,917.9,971,1000,1040,1070,1100,1140,1160,1200,1240,1290,1340,1390,1452.5,1510,1620,1750,1920,2120,2210
"Oct",522.47,560.98,637,690,736,778.6,818,852,883.15,921,954.1,990,1020,1060,1100,1150,1200,1280,1360,1471,1630,1800.2,1985.1
"Nov",249,277.9,317.95,357.9,381.7,399.8,412,422,440,455,475,492.5,510,526.4,548.35,570,600,640,676.15,747.1,832.35,943.06,998.02
"Dec",219.49,227,252,283,297,309,320,326,334,340.6,348,357,365,375,388,400,416.75,440,456,477,509.55,565.1,597.51
"All years",161,170,200,227,252,275,303,325,360,409,497,670,878,1030,1170,1330,1520,1780,2190,2850,3740,4687.8,5273.9
