"Year","n.days","n.Q","n.miss.Q","min.Q","max.Q","mean.Q","median.Q","sd.Q"
1966,365,365,0,125,4500,964.427,580,966.432
1967,365,365,0,221,5830,1116.729,561,1303.032
1968,366,366,0,204,4670,1234.038,541,1189.982
1969,365,365,0,157,4500,1083.06,597,1012.277
1970,365,365,0,205,5380,1187.951,900,1068.641
1971,365,365,0,175,5950,1013.638,408,1251.589
1972,366,366,0,157,7620,1180.486,421.5,1483.132
1973,365,365,0,156,5180,1135.255,629,1212.788
1974,365,365,0,159,5320,1248.734,841,1257.267
1975,365,365,0,194,5070,1082.422,459,1124.07
1976,366,366,0,221,5580,1302.817,647,1349.532
1977,365,365,0,231,4930,1159.86,569,1208.543
1978,365,365,0,205,2920,818.107,671,635.015
1979,365,365,0,201,5550,1238.337,674,1406.101
1980,366,366,0,241,3910,1075.915,907,866.593
1981,365,365,0,231,6200,1127.033,710,1227.864
1982,365,365,0,155,5370,926.26,465,1063.75
1983,365,365,0,181,5400,896.638,574,896.057
1984,366,366,0,179,5030,1041.347,572.5,1078.302
1985,365,365,0,180,6470,1152.786,520,1284.584
1986,365,365,0,210,5680,1279.123,890,1241.973
1987,365,365,0,267,5680,1314.507,777,1248.172
1988,366,366,0,250,6540,1470.792,649,1528.27
1989,365,365,0,181,3960,1008.085,677,880.372
1990,365,365,0,204,7290,1114.833,561,1338.951
1991,365,365,0,233,3620,1221.173,870,997.284
1992,366,366,0,252,7330,1307.098,710,1512.097
1993,365,365,0,260,4600,1081.326,834,1024.328
1994,365,365,0,165,4640,1167.655,885,1104.843
1995,365,365,0,230,2870,849.384,695,622.084
1996,366,366,0,210,3660,966.385,525,880.343
1997,365,365,0,177,4810,1087.282,625,1020.154
1998,365,365,0,190,5030,834.422,656,872.739
1999,365,365,0,193,5710,1059.816,630,1210.67
2000,366,366,0,246,4010,1163.836,719.5,1026.037
2001,365,365,0,234,5810,1175.556,580,1254.817
2002,365,365,0,229,4460,1178.608,875,1008.379
2003,365,365,0,272,3540,1040.255,864,843.079
2004,366,366,0,256,4570,1046.738,741,998.736
2005,365,365,0,243,6500,1366.192,844,1440.702
2006,365,365,0,300,6720,1258.611,657,1318.654
2007,365,365,0,297,7730,1463.701,924,1477.863
2008,366,366,0,233,6380,1365.079,608,1403.823
2009,365,365,0,301,7160,1380.512,868,1429.055
2010,365,365,0,316,2950,885.485,762,638.645
2011,365,365,0,241,5110,1208.307,577,1137.587
2012,366,366,0,256,9000,1207.273,503.5,1548.79
2013,365,365,0,256,7110,1220.6,733,1356.505
2014,365,365,0,261,4540,1254.375,839,1208.631
2015,365,365,0,283,4550,1076.534,648,907.794
