"Year","Measure","value.Q","value.HEC","diff","mean","pdiff"
0.01,"Q001-avg-q",122.411925675874,126.554,-4.142074324126,124.482962837937,0.0332742266868963
0.01,"Q003-avg-q",122.772055408845,126.838,-4.06594459115499,124.805027704422,0.0325783717686792
0.01,"Q007-avg-q",122.717847069219,127.318,-4.60015293078099,125.01792353461,0.036795947338763
0.01,"Q015-avg-q",122.961133473743,128.443,-5.48186652625701,125.702066736872,0.04360999519389
0.05,"Q001-avg-q",150.081463306861,150.799,-0.71753669313901,150.44023165343,0.00476957982085538
0.05,"Q003-avg-q",150.567968622315,151.228,-0.660031377685016,150.897984311158,0.00437402381945676
0.05,"Q007-avg-q",151.205417657097,152.035,-0.829582342902995,151.620208828548,0.0054714496788557
0.05,"Q015-avg-q",152.619640262412,153.685,-1.06535973758801,153.152320131206,0.00695621024007546
0.1,"Q001-avg-q",165.112744585607,164.72,0.392744585607005,164.916372292803,0.0023814772308337
0.1,"Q003-avg-q",165.658878321829,165.226,0.432878321829008,165.442439160914,0.00261648899777147
0.1,"Q007-avg-q",166.5958285656,166.206,0.389828565599998,166.4009142828,0.00234270687321754
0.1,"Q015-avg-q",168.480027507155,168.117,0.36302750715501,168.298513753577,0.00215704523503134
0.2,"Q001-avg-q",183.577616598366,182.45,1.12761659836602,183.013808299183,0.00616137442767509
0.2,"Q003-avg-q",184.188641624909,183.044,1.14464162490899,183.616320812454,0.00623387735820129
0.2,"Q007-avg-q",185.423047472322,184.225,1.198047472322,184.824023736161,0.00648209820403127
0.2,"Q015-avg-q",187.731891054544,186.414,1.31789105454402,187.072945527272,0.00704479769017105
0.5,"Q001-avg-q",219.711628925387,218.775,0.936628925386998,219.243314462693,0.00427209800071863
0.5,"Q003-avg-q",220.424118919393,219.508,0.916118919393,219.966059459697,0.00416481943461308
0.5,"Q007-avg-q",222.025941459881,221.009,1.01694145988102,221.51747072994,0.00459079573511749
0.5,"Q015-avg-q",224.703336819835,223.545,1.158336819835,224.124168409918,0.00516828161841266
0.8,"Q001-avg-q",256.918552730122,257.695,-0.77644726987802,257.306776365061,0.00301759355445973
0.8,"Q003-avg-q",257.702140085871,258.502,-0.799859914129001,258.102070042936,0.00309900619547896
0.8,"Q007-avg-q",259.402262536641,260.176,-0.773737463358998,259.78913126832,0.00297832884532745
0.8,"Q015-avg-q",261.860429940813,262.692,-0.831570059187015,262.276214970406,0.0031705889124595
0.9,"Q001-avg-q",276.798169907615,278.805,-2.00683009238503,277.801584953807,0.00722396919628347
0.9,"Q003-avg-q",277.606609822893,279.612,-2.00539017710702,278.609304911447,0.00719785786675148
0.9,"Q007-avg-q",279.249350117276,281.293,-2.04364988272403,280.271175058638,0.00729168771029149
0.9,"Q015-avg-q",281.357100592129,283.605,-2.24789940787105,282.481050296064,0.0079576998369096
0.95,"Q001-avg-q",293.439670690735,296.513,-3.07332930926498,294.976335345367,0.0104189012507279
0.95,"Q003-avg-q",294.262173860571,297.297,-3.03482613942901,295.779586930286,0.0102604313263319
