"Year","Measure","value"
1965,"Q001-avg",3.54
1966,"Q001-avg",5.8
1966,"Q003-avg",5.937
1966,"Q007-avg",6.306
1966,"Q015-avg",6.419
1966,"Q030-avg",6.446
1966,"Q060-avg",6.951
1966,"Q090-avg",7.506
1968,"Q001-avg",5.1
1968,"Q003-avg",5.223
1968,"Q007-avg",5.259
1968,"Q015-avg",5.563
1968,"Q030-avg",6.569
1968,"Q060-avg",9.519
1968,"Q090-avg",10.513
1969,"Q001-avg",4.98
1969,"Q003-avg",4.98
1969,"Q007-avg",5.071
1969,"Q015-avg",5.262
1969,"Q030-avg",5.358
1969,"Q060-avg",5.882
1969,"Q090-avg",6.722
1970,"Q001-avg",4.25
1970,"Q003-avg",4.343
1970,"Q007-avg",4.643
1970,"Q015-avg",4.863
1970,"Q030-avg",5.036
1970,"Q060-avg",5.095
1970,"Q090-avg",5.285
1971,"Q001-avg",6
1971,"Q003-avg",6.293
1971,"Q007-avg",6.719
1971,"Q015-avg",6.853
1971,"Q030-avg",7.92
1971,"Q060-avg",10.233
1971,"Q090-avg",11.371
1972,"Q001-avg",5.83
1972,"Q003-avg",6
1972,"Q007-avg",6.141
1972,"Q015-avg",6.308
1972,"Q030-avg",6.385
1972,"Q060-avg",7.078
1972,"Q090-avg",8.603
1973,"Q001-avg",3.11
1973,"Q003-avg",4.47
1973,"Q007-avg",4.57
1973,"Q015-avg",4.699
1973,"Q030-avg",4.836
1973,"Q060-avg",5.089
1973,"Q090-avg",5.539
1974,"Q001-avg",3.28
1974,"Q003-avg",3.443
1974,"Q007-avg",3.713
1974,"Q015-avg",4.23
1974,"Q030-avg",5.64
1974,"Q060-avg",6.495
1974,"Q090-avg",6.758
1975,"Q001-avg",6.43
1975,"Q003-avg",6.713
1975,"Q007-avg",6.923
1975,"Q015-avg",7.053
1975,"Q030-avg",7.113
1975,"Q060-avg",9.12
1975,"Q090-avg",11.893
1976,"Q001-avg",4.62
1976,"Q003-avg",4.977
1976,"Q007-avg",5.406
1976,"Q015-avg",6.196
1976,"Q030-avg",8.398
1976,"Q060-avg",10.309
1976,"Q090-avg",10.273
1977,"Q001-avg",4.16
1977,"Q003-avg",4.643
1977,"Q007-avg",4.976
1977,"Q015-avg",5.219
1977,"Q030-avg",5.511
1977,"Q060-avg",5.82
1977,"Q090-avg",6.064
1978,"Q001-avg",4.64
1978,"Q003-avg",4.7
1978,"Q007-avg",4.78
1978,"Q015-avg",5.055
1978,"Q030-avg",5.235
1978,"Q060-avg",5.925
1978,"Q090-avg",6.885
1980,"Q001-avg",4.42
1980,"Q003-avg",4.43
1980,"Q007-avg",4.897
1980,"Q015-avg",5.015
1980,"Q030-avg",5.298
1980,"Q060-avg",6.987
1980,"Q090-avg",7.704
1981,"Q001-avg",4.66
1981,"Q003-avg",4.833
1981,"Q007-avg",4.931
1981,"Q015-avg",5.071
1981,"Q030-avg",5.529
1981,"Q060-avg",6.588
1981,"Q090-avg",9.173
1982,"Q001-avg",5.32
1982,"Q003-avg",5.36
1982,"Q007-avg",5.381
1982,"Q015-avg",5.459
1982,"Q030-avg",5.519
1982,"Q060-avg",5.771
1982,"Q090-avg",6.614
1983,"Q001-avg",5.71
1983,"Q003-avg",5.747
1983,"Q007-avg",5.857
1983,"Q015-avg",5.894
1983,"Q030-avg",6.393
1983,"Q060-avg",8.949
1983,"Q090-avg",9.356
1984,"Q001-avg",4.12
1984,"Q003-avg",4.42
1984,"Q007-avg",5.021
1984,"Q015-avg",5.107
1984,"Q030-avg",5.262
1984,"Q060-avg",5.556
1984,"Q090-avg",7.716
1985,"Q001-avg",3.36
