"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","All data"
"P01",21.874,23.255,20.396,13.4,7.412,3.95,3.09,3.027,2.864,3.186,4.724,26.774,3.503
"P02",25.2,29.72,24.574,16.012,8.775,4.62,3.337,3.34,3,3.665,6.446,29.844,4.13
"P05",31.48,36.95,29.235,23.49,9.867,5.58,4.353,3.88,3.89,4.423,10.795,36.5,4.9
"P10",40.41,43.9,36.07,28.48,12.2,6.28,4.96,4.35,4.39,5.267,20.09,44.27,5.48
"P15",49.6,49.6,41.91,32.3,14.2,6.55,5.25,4.61,4.79,5.781,31.4,51.405,6.05
"P20",58.6,54.9,47.2,35.8,16.1,6.948,5.464,4.86,5.03,6.674,37.7,58.6,6.89
"P25",65.8,60,51.3,38.575,18.35,7.58,5.66,5,5.23,7.617,42.5,66.075,8.75
"P30",70.81,64.1,55.4,41.3,21.31,8.16,5.85,5.14,5.34,8.765,46.9,73.71,11.8
"P35",78.2,68.525,58.945,43.6,23.7,9.097,6.079,5.255,5.5,10.2,51.895,81.3,15.9
"P40",84.94,73.1,62.6,45.66,26.4,10.7,6.25,5.368,5.66,11.58,57.2,88.1,22.4
"P45",92.215,77.275,65.115,48.655,29,12,6.493,5.46,5.86,12.8,64.8,94.9,30.1
"P50",98.65,82.9,68.85,52.4,31,13.6,6.755,5.55,6.055,14.2,71.1,104,37.4
"P55",106,89.15,71.385,56,33.4,15.2,7.107,5.67,6.27,15.985,79.6,111,44.2
"P60",112,95.4,74.84,59.7,36.62,16.84,7.754,5.8,6.718,19,87.5,118,51.8
"P65",120.55,101,79,63.7,40.055,18.8,8.57,5.94,7.371,22.4,95.5,126,60
"P70",129,107,85.4,68,43.7,20.63,9.799,6.12,8.263,27.2,103,135,68.3
"P75",141,114,92.9,72.425,49,23.025,10.8,6.43,9.35,32.5,111,146,77.3
"P80",152.6,122,101,77.34,54.3,26.82,12.3,6.716,11.92,39.52,120,157.6,90.1
"P85",169.9,133,112.95,85,60.295,32.215,14.395,7.179,14.2,49.79,134.15,173,106
"P90",194,154,132.3,93.91,65.83,40.4,17.5,8.096,16.7,64.09,161.1,195,125
"P95",239.65,186,161.65,107,72.8,49.005,25.365,9.649,23.315,90.965,213.05,231,162.45
"P98",282.26,229.8,188.26,120,79.13,57.2,35.504,11.7,34.476,125,282.22,269.52,213
"P99",321,245.45,209.52,131.61,84.082,63.954,40.5,13.313,37.705,157.13,304,306.52,249.69
