"Month","P01","P02","P05","P10","P15","P20","P25","P30","P35","P40","P45","P50","P55","P60","P65","P70","P75","P80","P85","P90","P95","P98","P99"
"Jan",21.874,25.2,31.48,40.41,49.6,58.6,65.8,70.81,78.2,84.94,92.215,98.65,106,112,120.55,129,141,152.6,169.9,194,239.65,282.26,321
"Feb",23.255,29.72,36.95,43.9,49.6,54.9,60,64.1,68.525,73.1,77.275,82.9,89.15,95.4,101,107,114,122,133,154,186,229.8,245.45
"Mar",20.396,24.574,29.235,36.07,41.91,47.2,51.3,55.4,58.945,62.6,65.115,68.85,71.385,74.84,79,85.4,92.9,101,112.95,132.3,161.65,188.26,209.52
"Apr",13.4,16.012,23.49,28.48,32.3,35.8,38.575,41.3,43.6,45.66,48.655,52.4,56,59.7,63.7,68,72.425,77.34,85,93.91,107,120,131.61
"May",7.412,8.775,9.867,12.2,14.2,16.1,18.35,21.31,23.7,26.4,29,31,33.4,36.62,40.055,43.7,49,54.3,60.295,65.83,72.8,79.13,84.082
"Jun",3.95,4.62,5.58,6.28,6.55,6.948,7.58,8.16,9.097,10.7,12,13.6,15.2,16.84,18.8,20.63,23.025,26.82,32.215,40.4,49.005,57.2,63.954
"Jul",3.09,3.337,4.353,4.96,5.25,5.464,5.66,5.85,6.079,6.25,6.493,6.755,7.107,7.754,8.57,9.799,10.8,12.3,14.395,17.5,25.365,35.504,40.5
"Aug",3.027,3.34,3.88,4.35,4.61,4.86,5,5.14,5.255,5.368,5.46,5.55,5.67,5.8,5.94,6.12,6.43,6.716,7.179,8.096,9.649,11.7,13.313
"Sep",2.864,3,3.89,4.39,4.79,5.03,5.23,5.34,5.5,5.66,5.86,6.055,6.27,6.718,7.371,8.263,9.35,11.92,14.2,16.7,23.315,34.476,37.705
"Oct",3.186,3.665,4.423,5.267,5.781,6.674,7.617,8.765,10.2,11.58,12.8,14.2,15.985,19,22.4,27.2,32.5,39.52,49.79,64.09,90.965,125,157.13
"Nov",4.724,6.446,10.795,20.09,31.4,37.7,42.5,46.9,51.895,57.2,64.8,71.1,79.6,87.5,95.5,103,111,120,134.15,161.1,213.05,282.22,304
"Dec",26.774,29.844,36.5,44.27,51.405,58.6,66.075,73.71,81.3,88.1,94.9,104,111,118,126,135,146,157.6,173,195,231,269.52,306.52
"All years",3.503,4.13,4.9,5.48,6.05,6.89,8.75,11.8,15.9,22.4,30.1,37.4,44.2,51.8,60,68.3,77.3,90.1,106,125,162.45,213,249.69
