"Year","n.days","n.Q","n.miss.Q","min.Q","max.Q","mean.Q","median.Q","sd.Q"
1965,365,365,0,3.54,196,47.726,35.1,44.551
1966,365,365,0,5.8,362,60.325,39.9,65.587
1967,365,365,0,4.11,213,61.71,51,53.654
1968,366,366,0,5.1,450,69.525,44.75,71.151
1969,365,365,0,4.98,150,47.507,40.5,35.527
1970,365,365,0,4.25,153,36.848,23.7,34.334
1971,365,365,0,6,187,55.623,54.9,39.623
1972,366,366,0,5.83,425,53.932,36.8,59.41
1973,365,365,0,3.11,337,53.335,26.7,64.814
1974,365,365,0,3.28,343,69.461,53.8,64.423
1975,365,365,0,6.43,345,66.592,48.4,65.389
1976,366,366,0,4.62,165,47.772,38.35,37.672
1977,365,365,0,4.16,233,47.696,40.2,47.431
1978,365,365,0,4.64,101,30.253,26.1,21.666
1979,365,365,0,3.84,336,43.465,25.2,56.164
1980,366,366,0,4.42,385,58.66,38.1,62.007
1981,365,365,0,4.66,244,60.312,44.1,54.734
1982,365,365,0,5.32,217,49.763,40,46.185
1983,365,365,0,5.71,303,61.297,20.4,69.739
1984,366,366,0,4.12,197,58.121,62.1,41.602
1985,365,365,0,3.36,86.4,27.755,29.3,20.369
1986,365,365,0,3.45,400,52.854,32.2,63.788
1987,365,365,0,3.6,198,47.361,21,50.493
1988,366,366,0,4.14,139,46.111,41.6,37.026
1989,365,365,0,4.08,176,40.172,36.2,35.159
1990,365,365,0,4.89,326,59.715,42.6,63.558
1991,365,365,0,4.61,248,45.935,25.1,47.938
1992,366,366,0,3.74,324,42.75,16.9,56.933
1993,365,365,0,4.89,191,33.468,21,33.871
1994,365,365,0,4.8,257,47.673,26.5,52.089
1995,365,365,0,4.67,286,71.344,38.6,77.383
1996,366,366,0,4.63,254,50.604,46.2,45.757
1997,365,365,0,7.45,359,79.122,73.5,55.645
1998,365,365,0,3.96,325,57.352,14.4,71.503
1999,365,365,0,6.01,282,71.801,59.2,57.927
2000,366,366,0,5.23,88.7,36.609,40.15,22.775
2001,365,365,0,4.21,255,41.973,30.3,42.517
2002,365,365,0,4.98,289,49.305,29.4,50.891
2003,365,365,0,2.68,312,66.032,43.9,67.183
2004,366,366,0,2.77,213,43.529,25,43.627
2005,365,365,0,4.96,321,48.517,30.4,53.082
2006,365,365,0,2.58,333,70.73,30,85.252
2007,365,365,0,5.64,381,71.451,65.1,67.477
2008,366,366,0,5.3,166,40.588,34.55,30.467
2009,365,365,0,5.48,407,53.163,32.8,68.142
2010,365,365,0,4.39,365,64.364,60.6,61.111
2011,365,365,0,5.68,222,57.972,46,47.167
2012,366,366,0,3.55,229,58.515,64.55,48.187
