"Year","CY_MIN_01Day_SW","CY_MINDOY_01Day_SW","CY_MIN_03Day_SW","CY_MINDOY_03Day_SW","CY_MIN_07Day_SW","CY_MINDOY_07Day_SW","CY_MIN_30Day_SW","CY_MINDOY_30Day_SW","CY_MIN_DAILY_SW","CY_MAX_DAILY_SW","CY_MEAN_DAILY_SW","CY_TOTALQ_DAILY_SW","CY_YIELDMM_DAILY_SW","CY_CUMQ_DAILY_SW","CY_Date_25P_CUMQ_DAILY_SW","CY_Date_50P_CUMQ_DAILY_SW","CY_Date_75P_CUMQ_DAILY_SW","JFM_TOTALQ_DAILY_SW","AMJ_TOTALQ_DAILY_SW","JAS_TOTALQ_DAILY_SW","OND_TOTALQ_DAILY_SW","JFM_YIELDMM_DAILY_SW","AMJ_YIELDMM_DAILY_SW","JAS_YIELDMM_DAILY_SW","OND_YIELDMM_DAILY_SW","JAN_MIN_DAILY_SW","FEB_MIN_DAILY_SW","MAR_MIN_DAILY_SW","APR_MIN_DAILY_SW","MAY_MIN_DAILY_SW","JUN_MIN_DAILY_SW","JUL_MIN_DAILY_SW","AUG_MIN_DAILY_SW","SEP_MIN_DAILY_SW","OCT_MIN_DAILY_SW","NOV_MIN_DAILY_SW","DEC_MIN_DAILY_SW","JAN_MAX_DAILY_SW","FEB_MAX_DAILY_SW","MAR_MAX_DAILY_SW","APR_MAX_DAILY_SW","MAY_MAX_DAILY_SW","JUN_MAX_DAILY_SW","JUL_MAX_DAILY_SW","AUG_MAX_DAILY_SW","SEP_MAX_DAILY_SW","OCT_MAX_DAILY_SW","NOV_MAX_DAILY_SW","DEC_MAX_DAILY_SW","JAN_MEAN_DAILY_SW","FEB_MEAN_DAILY_SW","MAR_MEAN_DAILY_SW","APR_MEAN_DAILY_SW","MAY_MEAN_DAILY_SW","JUN_MEAN_DAILY_SW","JUL_MEAN_DAILY_SW","AUG_MEAN_DAILY_SW","SEP_MEAN_DAILY_SW","OCT_MEAN_DAILY_SW","NOV_MEAN_DAILY_SW","DEC_MEAN_DAILY_SW","JAN_P50_DAILY_SW","FEB_P50_DAILY_SW","MAR_P50_DAILY_SW","APR_P50_DAILY_SW","MAY_P50_DAILY_SW","JUN_P50_DAILY_SW","JUL_P50_DAILY_SW","AUG_P50_DAILY_SW","SEP_P50_DAILY_SW","OCT_P50_DAILY_SW","NOV_P50_DAILY_SW","DEC_P50_DAILY_SW","JAN_P20_DAILY_SW","FEB_P20_DAILY_SW","MAR_P20_DAILY_SW","APR_P20_DAILY_SW","MAY_P20_DAILY_SW","JUN_P20_DAILY_SW","JUL_P20_DAILY_SW","AUG_P20_DAILY_SW","SEP_P20_DAILY_SW","OCT_P20_DAILY_SW","NOV_P20_DAILY_SW","DEC_P20_DAILY_SW","JAN_P10_DAILY_SW","FEB_P10_DAILY_SW","MAR_P10_DAILY_SW","APR_P10_DAILY_SW","MAY_P10_DAILY_SW","JUN_P10_DAILY_SW","JUL_P10_DAILY_SW","AUG_P10_DAILY_SW","SEP_P10_DAILY_SW","OCT_P10_DAILY_SW","NOV_P10_DAILY_SW","DEC_P10_DAILY_SW","ONDJFM_TOTALQ_DAILY_SW","AMJJAS_TOTALQ_DAILY_SW","ONDJFM_YIELDMM_DAILY_SW","AMJJAS_YIELDMM_DAILY_SW","CY_N_BELOW_25","CY_N_ABOVE_75","CY_N_OUTSIDE_25_75"
1965,3.54,276,3.747,276,4.224,276,5.07,223,3.54,196,47.726,1505094910.24,1822.149,17420.08,55,141,327,565669440.529,232522271.421,48689855.996,658213342.295,684.83,281.504,58.947,796.868,28.9,96.3,31.7,28.9,8.07,6.51,4.81,4.5,4.11,3.54,72.8,68.8,92.6,196,86.7,70.8,56.1,15.9,9.23,11.4,9.66,67.1,171,188,45.103,124.086,54.016,41.903,38.001,8.536,5.498,6.49,6.397,33.449,96.13,119.271,39.6,117,54.9,32.7,40.5,7.93,5.15,5.24,5.915,25.7,95.1,111,33.7,101.4,38.2,29.7,34.3,7.36,4.96,4.96,4.96,19.4,79.9,89.2,29.7,98.68,34.3,29.4,21.6,6.94,4.96,4.96,4.779,6.23,76.06,82.7,1143909313.069,281212127.417,1384.878,340.451,126,73,199
1966,5.8,215,5.937,224,6.306,225,6.446,244,5.8,362,60.325,1902423450.648,2303.176,22018.79,48,129,341,732991673.477,314576352.978,74649599.754,780205824.439,887.399,380.843,90.375,944.559,57.2,54.4,46.7,43,7.36,6.77,6.09,5.8,6.26,6.37,30.6,119,260,119,117,140,43.9,31.7,26.9,13.3,8.75,43.3,182,362,123.842,83.404,74.494,73.04,31.01,16.281,13.914,6.799,7.397,16.873,61.637,214.774,111,81.7,69.7,72.8,35.7,11,14,6.54,7.335,7.82,54.1,182,91.2,59.7,54.4,51.7,23.4,6.928,6.48,6.03,6.698,6.94,35.76,165,66.8,58,51.3,47.37,13.7,6.77,6.48,6.03,6.577,6.65,31.64,162,1391205015.772,389225952.732,1684.268,471.218,33,115,148
1967,4.11,243,4.11,256,4.32,269,4.652,270,4.11,213,61.781,1948337396.827,2358.762,22550.201,39,111,314,874480319.933,258251883.782,44503776.343,768601438.882,1058.693,312.654,53.879,930.51,106,58.6,49.6,34.5,28.1,6.23,5.8,4.11,4.11,4.7,51,49.3,213,187,138,77.6,39.1,32.6,7.39,6.74,6.51,167,156,187,143.387,111.246,82.626,49.753,32.873,15.913,6.552,5.539,4.676,70.173,94.947,124.906,124,103,81,46.7,32.95,11.295,6.51,5.38,4.45,73.1,98.55,118,118,77.62,64,39.1,30.3,7.22,6.29,5.1,4.296,47.9,65.54,86.7,113,68.08,57.2,36.74,29.56,6.85,6.09,4.53,4.182,7.56,54.23,85,1654686144.372,301565626.937,2003.252,365.092,47,78,125
1968,5.1,219,5.223,220,5.259,223,6.569,237,5.1,450,69.525,2198548223.245,2661.681,25446.16,32,84,310,1148152320.924,227285566.674,93315455.585,729794880.063,1390.015,275.164,112.973,883.529,67.7,90,74.8,36.8,10.1,8.07,6.4,5.1,12.6,14.4,72.8,88.1,450,211,135,76.5,39.6,20.8,16.3,16,19.3,122,141,177,204.739,136.617,96.129,53.063,21.155,12.764,11.491,7.942,15.92,52.242,100.08,123.381,203,124,98.3,50.15,19,11.8,10.9,6.48,15.35,38.2,89.45,121,90.9,106,79,39.32,13,8.964,8.78,5.47,13.46,21.2,80.24,106,76.2,95.08,74.8,38.2,12.8,8.58,7.67,5.1,12.69,16.1,78.7,96,1916753759.806,320601022.259,2320.525,388.137,25,170,195
1969,4.98,228,4.98,238,5.071,240,5.358,256,4.98,150,47.507,1498166494.656,1813.761,17339.89,81,126,295,443759039.703,540264385.595,76129631.143,438013438.216,537.239,654.073,92.167,530.283,30,28.3,36.5,81.3,58,6.51,6.09,4.98,5.24,24.4,23.5,34,98.5,65.7,103,141,79,64.8,12.7,6.09,36.2,39.1,49.6,150,60.329,45.782,64,104.38,69.135,32.615,8.175,5.537,15.203,31.732,40.387,92.719,61.2,42.6,73.1,103,70.5,32.85,7.65,5.66,7.18,32.8,42.2,104,36.8,34.94,40.5,89.68,64.6,6.88,6.65,5.1,5.32,25.2,36.44,40.2,33.7,30.95,40.5,85.5,59.7,6.645,6.51,4.98,5.24,25.2,28.9,37.4,1173553919.766,616394016.738,1420.767,746.24,87,113,200
1970,4.25,203,4.343,204,4.643,206,5.036,230,4.25,153,36.848,1162028160.534,1406.814,13449.4,48,105,327,492134398.677,222619104.752,46146239.826,401128417.278,595.804,269.515,55.867,485.628,39.1,48.1,39.9,24.7,12.5,5.47,4.25,4.7,5.24,6.23,19.5,45,150,80.7,72.2,138,23.8,11.8,5.66,5.32,11.6,27.2,71.4,153,71.652,66.561,51.971,60.763,17.229,7.32,5.244,5.068,7.148,13.306,43.72,94.148,62,65.8,46.7,55.35,18.7,6.555,5.32,5.18,5.54,9.23,48.85,88.1,47,60.6,40.5,37.22,12.9,6.19,4.98,4.7,5.24,7.31,22.72,62.3,44.7,57.29,39.9,33.26,12.6,5.993,4.53,4.7,5.24,6.6,20.47,48.4,930147836.893,268765344.578,1126.087,325.382,162,9,171
1971,6,223,6.293,224,6.719,225,7.92,237,6,187,55.623,1754116132.741,2123.627,20302.27,48,106,266,768821761.452,449962561.699,104791967.907,430539841.683,930.777,544.749,126.867,521.235,44.7,83.5,61.4,52.4,51.8,13.4,9.46,6,7.67,11.2,39.9,41.3,172,187,151,92.3,74.8,52.7,45,13.5,17.2,42.2,127,83.8,96.713,119.818,82.11,71.38,65.919,34.1,18.561,8.481,12.486,21.858,81.87,59.658,91.5,108.5,77,73.6,66.3,33.15,16.4,7.33,12.3,15,78.75,58.9,51.3,96.92,69.7,61.36,58,19.6,13.2,6.91,9.15,14.2,59.8,50.4,47.6,92.98,62.6,57.3,56.4,14.38,9.97,6.57,8.665,14.1,56.37,46.4,1169950178.731,554754529.606,1416.405,671.616,37,175,212
1972,5.83,304,6,304,6.141,262,6.385,262,5.83,425,53.932,1705468607.491,2064.732,19739.22,62,98,302,797618879.407,363951359.227,94936320.347,448962048.51,965.64,440.619,114.935,543.538,35.1,51.3,91.7,51.3,20.4,10,6.68,6.12,5.95,5.83,7.22,27,178,180,185,116,54.1,25.2,41.9,8.16,19.8,15,50.1,425,67.123,91.255,145.306,79.027,43.632,16.3,19.181,6.629,9.956,9.132,35.728,123.916,42.5,77.3,143,79.9,47.6,16.2,12.3,6.51,6.485,8.5,37.55,47,38.5,55.68,117,57.28,40.8,11.38,9.88,6.29,6.12,6.68,32.76,33.4,36.8,54.1,110,54.64,24.8,10.99,7.22,6.12,6.054,6.17,18.855,28.9,1228158721.09,458887679.574,1486.875,555.554,79,134,213
1973,3.11,285,4.47,253,4.57,279,4.836,278,3.11,337,53.335,1681986817.216,2036.304,19467.44,30,149,341,740543040.856,159158304.296,49729248.138,732556223.925,896.541,192.686,60.205,886.872,92.9,38.2,38.8,8.67,8.78,11,5.66,4.39,4.13,3.11,28.3,110,270,107,79.3,38.2,43.9,38.8,11,6.74,6,34,194,337,162.106,64.082,56.5,20.651,19.961,20.127,7.962,5.815,4.949,11.599,79.537,184.935,159,56.8,53.2,23.25,16.7,18.7,7.65,6,4.81,7.87,84.55,184,122,45.74,47.6,9.436,9.91,14.78,6.51,5.24,4.47,4.81,32.48,124,106,41.27,40.2,8.78,9.57,12.18,6.17,4.98,4.462,4.47,29.7,116,1189505089.367,208887552.434,1440.079,252.89,117,66,183
1974,3.28,308,3.443,309,3.713,309,5.64,312,3.28,343,69.461,2190511296.668,2651.951,25353.14,37,91,204,1083352320.924,512118718.942,105398496.154,489641760.646,1311.565,619.998,127.601,592.787,49.6,87.8,62.9,60.3,30.9,16.5,11.6,6.63,6.46,3.34,3.28,88.1,343,246,202,154,67.7,64.8,38.5,11.9,8.27,8.72,146,227,162.923,137.457,117.4,99.073,51.384,45.407,24.348,7.938,7.3,6.515,51.976,125.997,165,122,114,94.7,53.5,50.55,22.4,7.48,7.195,6.8,37.2,119,70.2,94.46,88.1,67.82,41.3,32,17.4,6.91,6.888,4.42,5.912,108,60,91.14,75.9,62.91,39.6,22.15,15.6,6.8,6.783,4.16,3.625,101,1815908544.849,617517215.097,2198.436,747.6,36,217,253
