"distr","prob","Return","Q001-avg","Q003-avg","Q007-avg","Q015-avg","Q030-avg","Q060-avg","Q090-avg"
"PIII",0.01,100,2.393,2.493,2.543,2.673,2.805,3.169,3.784
"PIII",0.05,20,2.968,3.116,3.214,3.368,3.485,3.743,4.212
"PIII",0.1,10,3.302,3.472,3.595,3.76,3.878,4.107,4.521
"PIII",0.2,5,3.728,3.92,4.07,4.245,4.375,4.611,4.996
"PIII",0.5,2,4.598,4.804,4.989,5.17,5.379,5.822,6.337
"PIII",0.8,1.25,5.512,5.681,5.865,6.035,6.413,7.463,8.598
"PIII",0.9,1.111,5.995,6.121,6.286,6.441,6.949,8.55,10.38
"PIII",0.95,1.053,6.392,6.467,6.608,6.748,7.384,9.598,12.318
"PIII",0.975,1.026,6.732,6.753,6.866,6.99,7.751,10.635,14.457
"PIII",0.98,1.02,6.832,6.835,6.939,7.058,7.859,10.97,15.196
"PIII",0.99,1.01,7.119,7.066,7.139,7.243,8.164,12.017,17.662
