"Year","WY_MIN_01Day_SW","WY_MINDOY_01Day_SW","WY_MIN_03Day_SW","WY_MINDOY_03Day_SW","WY_MIN_07Day_SW","WY_MINDOY_07Day_SW","WY_MIN_30Day_SW","WY_MINDOY_30Day_SW","WY_MIN_DAILY_SW","WY_MAX_DAILY_SW","WY_MEAN_DAILY_SW","WY_MEDIAN_DAILY_SW","WY_TOTALQ_DAILY_SW","WY_YIELDMM_DAILY_SW","WY_CUMQ_DAILY_SW","WY_Date_25P_CUMQ_DAILY_SW","WY_Date_33P_CUMQ_DAILY_SW","WY_Date_50P_CUMQ_DAILY_SW","WY_Date_75P_CUMQ_DAILY_SW"
1965,4.11,365,4.587,362,4.657,365,5.07,315,4.11,196,35.904,29.7,1132277554.213,1370.796,13105.064,137,147,183,NA
1966,3.54,3,3.747,3,4.224,3,5.718,5,3.54,260,56.457,49.8,1780430968.504,2155.485,20606.84,69,84,112,174
1967,4.11,335,4.11,348,4.32,361,4.652,362,4.11,362,62.15,36.2,1959973662.564,2372.849,22684.88,78,84,111,156
1968,4.7,1,4.603,1,4.506,1,4.693,1,4.7,450,70.752,54.95,2237354782.064,2708.662,25895.31,76,91,114,155
1969,4.98,320,4.98,330,5.071,332,5.358,348,4.98,177,56.759,52.7,1789947936.503,2167.007,20716.99,65,79,125,201
1970,4.25,295,4.343,296,4.643,298,5.036,322,4.25,150,38.017,34.5,1198913181.471,1451.469,13876.31,79,88,120,175
1971,6,315,6.293,316,6.719,317,7.35,1,6,187,54.69,51.5,1724704708.337,2088.02,19961.86,98,117,142,201
1972,5.95,339,6.023,354,6.141,354,6.385,354,5.95,185,53.35,44.05,1687046400.664,2042.429,19526,90,117,153,188
1973,4.13,337,4.47,345,4.583,353,4.937,357,4.13,425,44.343,20,1398392641.801,1692.969,16185.1,88,93,110,153
1974,3.11,12,4.473,2,4.57,6,4.836,5,3.11,343,77.163,57.2,2433425759.946,2946.036,28164.65,84,104,126,183
1975,3.28,35,3.443,36,3.713,36,5.64,39,3.28,227,45.284,41.9,1428069312.877,1728.897,16528.58,82,91,124,195
1976,4.62,315,4.977,315,5.406,317,8.398,323,4.62,345,77.293,66.4,2444174782.222,2959.049,28289.06,51,65,98,172
1977,4.16,319,4.643,319,4.976,319,5.511,326,4.16,147,31.735,20.6,1000802305.453,1211.625,11583.36,96,114,148,186
1978,4.64,304,4.7,305,4.78,307,5.235,329,4.64,233,45.765,28.9,1443248927.138,1747.275,16704.27,61,72,91,156
1979,3.84,279,3.92,280,3.941,269,4.255,285,3.84,196,32.114,24.45,1012762179.505,1226.104,11721.784,96,135,153,181
1980,4.42,336,4.43,336,4.897,337,5.298,351,4.42,336,52.644,35.15,1664740510.553,2015.424,19267.83,82,89,112,163
1981,4.66,344,4.833,341,4.931,345,5.529,352,4.66,385,58.324,37.1,1839308261.395,2226.765,21288.29,74,86,101,160
1982,5.32,305,5.36,326,5.381,311,5.519,331,5.32,221,58.404,40.4,1841821631.061,2229.808,21317.38,60,71,107,154
1983,5.71,317,5.747,325,5.857,325,6.159,1,5.71,303,61.647,33.4,1944085536.144,2353.614,22500.99,83,100,129,161
1984,4.12,295,4.42,295,5.021,299,5.262,338,4.12,290,55.777,52.85,1763811070.891,2135.364,20414.48,67,95,127,185
1985,3.36,333,3.617,326,3.717,335,3.881,336,3.36,182,37.705,31,1189072219.184,1439.555,13762.41,46,57,82,182
1986,3.66,332,3.78,333,3.874,335,4.174,349,3.66,400,51.471,34.5,1623191616.477,1965.123,18786.94,109,114,130,176
1987,3.45,24,3.49,24,3.68,25,4.816,340,3.45,187,48.929,25.1,1543023648.614,1868.067,17859.07,93,103,127,167
1988,3.8,39,3.883,39,3.969,41,4.336,41,3.8,198,40.295,36.35,1274237570.132,1542.66,14748.12,91,112,147,196
