"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Long-term"
"P01",21.874,23.255,NA,13.4,NA,NA,NA,3.027,2.864,3.186,4.724,26.774,NA
"P02",25.2,29.72,NA,16.012,NA,NA,NA,3.34,3,3.665,6.446,29.844,NA
"P05",31.48,36.95,NA,23.49,NA,NA,NA,3.88,3.89,4.423,10.795,36.5,NA
"P10",40.41,43.9,NA,28.48,NA,NA,NA,4.35,4.39,5.267,20.09,44.27,NA
"P15",49.6,49.6,NA,32.3,NA,NA,NA,4.61,4.79,5.781,31.4,51.405,NA
"P20",58.6,54.9,NA,35.8,NA,NA,NA,4.86,5.03,6.674,37.7,58.6,NA
"P25",65.8,60,NA,38.575,NA,NA,NA,5,5.23,7.617,42.5,66.075,NA
"P30",70.81,64.1,NA,41.3,NA,NA,NA,5.14,5.34,8.765,46.9,73.71,NA
"P35",78.2,68.525,NA,43.6,NA,NA,NA,5.255,5.5,10.2,51.895,81.3,NA
"P40",84.94,73.1,NA,45.66,NA,NA,NA,5.368,5.66,11.58,57.2,88.1,NA
"P45",92.215,77.275,NA,48.655,NA,NA,NA,5.46,5.86,12.8,64.8,94.9,NA
"P50",98.65,82.9,NA,52.4,NA,NA,NA,5.55,6.055,14.2,71.1,104,NA
"P55",106,89.15,NA,56,NA,NA,NA,5.67,6.27,15.985,79.6,111,NA
"P60",112,95.4,NA,59.7,NA,NA,NA,5.8,6.718,19,87.5,118,NA
"P65",120.55,101,NA,63.7,NA,NA,NA,5.94,7.371,22.4,95.5,126,NA
"P70",129,107,NA,68,NA,NA,NA,6.12,8.263,27.2,103,135,NA
"P75",141,114,NA,72.425,NA,NA,NA,6.43,9.35,32.5,111,146,NA
"P80",152.6,122,NA,77.34,NA,NA,NA,6.716,11.92,39.52,120,157.6,NA
"P85",169.9,133,NA,85,NA,NA,NA,7.179,14.2,49.79,134.15,173,NA
"P90",194,154,NA,93.91,NA,NA,NA,8.096,16.7,64.09,161.1,195,NA
"P95",239.65,186,NA,107,NA,NA,NA,9.649,23.315,90.965,213.05,231,NA
"P98",282.26,229.8,NA,120,NA,NA,NA,11.7,34.476,125,282.22,269.52,NA
"P99",321,245.45,NA,131.61,NA,NA,NA,13.313,37.705,157.13,304,306.52,NA
