"","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Long-term"
"P01",NA,NA,NA,21.874,23.255,NA,13.4,NA,NA,NA,3.027,2.864,NA
"P02",NA,NA,NA,25.2,29.72,NA,16.012,NA,NA,NA,3.34,3,NA
"P05",NA,NA,NA,31.48,36.95,NA,23.49,NA,NA,NA,3.88,3.89,NA
"P10",NA,NA,NA,40.41,43.9,NA,28.48,NA,NA,NA,4.35,4.39,NA
"P15",NA,NA,NA,49.6,49.6,NA,32.3,NA,NA,NA,4.61,4.79,NA
"P20",NA,NA,NA,58.6,54.9,NA,35.8,NA,NA,NA,4.86,5.03,NA
"P25",NA,NA,NA,65.8,60,NA,38.575,NA,NA,NA,5,5.23,NA
"P30",NA,NA,NA,70.81,64.1,NA,41.3,NA,NA,NA,5.14,5.34,NA
"P35",NA,NA,NA,78.2,68.525,NA,43.6,NA,NA,NA,5.255,5.5,NA
"P40",NA,NA,NA,84.94,73.1,NA,45.66,NA,NA,NA,5.368,5.66,NA
"P45",NA,NA,NA,92.215,77.275,NA,48.655,NA,NA,NA,5.46,5.86,NA
"P50",NA,NA,NA,98.65,82.9,NA,52.4,NA,NA,NA,5.55,6.055,NA
"P55",NA,NA,NA,106,89.15,NA,56,NA,NA,NA,5.67,6.27,NA
"P60",NA,NA,NA,112,95.4,NA,59.7,NA,NA,NA,5.8,6.718,NA
"P65",NA,NA,NA,120.55,101,NA,63.7,NA,NA,NA,5.94,7.371,NA
"P70",NA,NA,NA,129,107,NA,68,NA,NA,NA,6.12,8.263,NA
"P75",NA,NA,NA,141,114,NA,72.425,NA,NA,NA,6.43,9.35,NA
"P80",NA,NA,NA,152.6,122,NA,77.34,NA,NA,NA,6.716,11.92,NA
"P85",NA,NA,NA,169.9,133,NA,85,NA,NA,NA,7.179,14.2,NA
"P90",NA,NA,NA,194,154,NA,93.91,NA,NA,NA,8.096,16.7,NA
"P95",NA,NA,NA,239.65,186,NA,107,NA,NA,NA,9.649,23.315,NA
"P98",NA,NA,NA,282.26,229.8,NA,120,NA,NA,NA,11.7,34.476,NA
"P99",NA,NA,NA,321,245.45,NA,131.61,NA,NA,NA,13.313,37.705,NA
