"Month","P01","P02","P05","P10","P15","P20","P25","P30","P35","P40","P45","P50","P55","P60","P65","P70","P75","P80","P85","P90","P95","P98","P99"
"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jan",21.874,25.2,31.48,40.41,49.6,58.6,65.8,70.81,78.2,84.94,92.215,98.65,106,112,120.55,129,141,152.6,169.9,194,239.65,282.26,321
"Feb",23.255,29.72,36.95,43.9,49.6,54.9,60,64.1,68.525,73.1,77.275,82.9,89.15,95.4,101,107,114,122,133,154,186,229.8,245.45
"Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apr",13.4,16.012,23.49,28.48,32.3,35.8,38.575,41.3,43.6,45.66,48.655,52.4,56,59.7,63.7,68,72.425,77.34,85,93.91,107,120,131.61
"May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aug",3.027,3.34,3.88,4.35,4.61,4.86,5,5.14,5.255,5.368,5.46,5.55,5.67,5.8,5.94,6.12,6.43,6.716,7.179,8.096,9.649,11.7,13.313
"Sep",2.864,3,3.89,4.39,4.79,5.03,5.23,5.34,5.5,5.66,5.86,6.055,6.27,6.718,7.371,8.263,9.35,11.92,14.2,16.7,23.315,34.476,37.705
"Long-term",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
